# mod_name | optional_modpack_name | download_url | Notes
advtrains|advtrains|https://git.bananach.space/advtrains.git|Train platforms are created from suitable unilib stone nodes
animalia||https://github.com/ElCeejo/animalia|Some food items are used in unilib craft recipes
areas||https://github.com/minetest-mods/areas/|Hangglider no-fly zones are compatible with areas
biome_lib||https://github.com/mt-mods/biome_lib|No direct compatibility. Calls to the biome_lib API are simulated crudely as unilib decorations
bones|minetest_game|https://github.com/minetest/minetest_game|Compatible withe bonemeal and the death compass, if loaded
colormachine||https://github.com/Sokomine/colormachine|Mod by Sokomine. Compatible with the node inspection tool, if loaded
i3||https://github.com/minetest-mods/i3|Adds some custom craft types
mesecons||https://github.com/minetest-mods/mesecons|Some items are compatible with mesecon circuits. Door and trapdoor comptability can be enabled/disabled in MT settings
mobs_animal||https://notabug.org/tenplus1/mobs_animal|Some food items are used in unilib craft recipes
node_ownership||https://forum.minetest.net/viewtopic.php?f=13&t=846|Mod by randomproof. Compatible with the node replacement tool, if loaded
petz|petz|https://content.minetest.net/packages/runs/petz/|Some food items are used in unilib craft recipes
protector||https://forum.minetest.net/viewtopic.php?f=13&t=846|Mod by glomie. Compatible with the node replacement tool, if loaded
protector_redo||https://notabug.org/tenplus1/protector|Mod by TenPlus1. Compatible with the node replacement tool, if loaded
technic_addons||https://content.minetest.net/packages/Mineminer/technic_addons/|Unsuitable tools are not repairable in unilib anvils if the "shared_anvil" package is loaded
ta4_jetpack|techage|https://github.com/joe7575/techage_modpack|Unsuitable tools are not repairable in unilib anvils if the "shared_anvil" package is loaded
unified_inventory||https://github.com/minetest-mods/unified_inventory|Given unilib textures to use for groups in its craft recipes, and adds some custom craft types
