# Biome table for the "30biomes" remix
# THIS FILE WAS CREATED FOR TESTING PURPOSES. The biomes in the "30biomes" mod do not cover all
#       heights, heats and humidities, so they are not suitable for use in a real game (unless
#       combined with other mods and/or packages that provide additional biomes)
# If you want unilib to read this file and create the biomes, then rename this file as biomes.csv

# Biome name|Description|Original biome name|Dust node|Top node and depth|Fill node and depth|Stone node|Top water node and depth|Water node|River node|Riverbed node and depth|Cave liquid node|Dungeon node|Dungeon alternative node|Dungeon stair node|Max height|Min height|Vertical blend|Heat|Humidity

# Main biomes
30biomes_bushes|Bushes biome|bushes||unilib:dirt_ordinary_with_turf|unilib:dirt_ordinary|unilib:stone_ordinary||||unilib:sand_ordinary|||||Y_MAX|7||43|30
30biomes_desert|Desert biome|desert||unilib:sand_desert|unilib:sand_desert 3|unilib:stone_desert||||unilib:sand_ordinary 3|||||Y_MAX|7||89|9
30biomes_desert_cold|Cold desert biome|cold_desert||||unilib:stone_ordinary||||unilib:gravel_ordinary|||||Y_MAX|3||32|-3
30biomes_desert_gravel|Desert gravel biome|gravel_desert||unilib:gravel_ordinary|unilib:gravel_ordinary 2|unilib:stone_ordinary||||unilib:gravel_ordinary 2|||||Y_MAX|2||20|-2
30biomes_desert_gravel_cold|Cold desert gravel biome|cold_gravel_desert|unilib:snow_ordinary|unilib:gravel_ordinary|unilib:gravel_ordinary|unilib:stone_ordinary||||unilib:gravel_ordinary|||||Y_MAX|-6||-2|2
30biomes_desert_sandstone|Sandstone desert biome|sandstone_desert||unilib:sand_desert|unilib:sand_desert|unilib:stone_sandstone_ordinary||||unilib:sand_ordinary 2|||||Y_MAX|6||60|0
30biomes_desert_stone_grassland|Grassland and desert stone biome|desert_stone_grasslands||unilib:dirt_ordinary_with_turf|unilib:dirt_ordinary|unilib:stone_desert||||unilib:sand_ordinary 2|||||Y_MAX|4||90|41
30biomes_forest_coniferous|Coniferous forest biome|coniferous_forest||unilib:dirt_ordinary_with_turf|unilib:dirt_ordinary 2|unilib:stone_ordinary||||unilib:gravel_ordinary|||||Y_MAX|5||22|71
30biomes_forest_deciduous|Deciduous forest biome|deciduous_forest||unilib:dirt_ordinary_with_turf|unilib:dirt_ordinary 3|unilib:stone_ordinary||||unilib:dirt_ordinary 3|||||Y_MAX|5||45|65
30biomes_forest_deciduous_cold|Cold deciduous forest biome|cold_deciduous_forest||unilib:dirt_ordinary_with_turf|unilib:dirt_ordinary 2|unilib:stone_ordinary||||unilib:dirt_ordinary 2|||||Y_MAX|4||31|48
30biomes_forest_deciduous_hot|Hot deciduous forest biome|hot_deciduous_forest||unilib:dirt_ordinary_with_turf|unilib:dirt_ordinary 2|unilib:stone_ordinary||||unilib:dirt_ordinary 3|||||Y_MAX|5||61|58
30biomes_forest_hot_pine|Hot pine forest biome|hot_pine_forest||unilib:dirt_ordinary_with_turf|unilib:dirt_ordinary|unilib:stone_ordinary||||unilib:gravel_ordinary|||||Y_MAX|6||65|35
30biomes_forest_mixed|Mixed forest biome|mixed_forest||unilib:dirt_ordinary_with_turf|unilib:dirt_ordinary 2|unilib:stone_ordinary||||unilib:dirt_ordinary 2|||||Y_MAX|5||24|56
30biomes_forest_semitropical|Semi-tropical forest biome|semi-tropical_forest||unilib:dirt_ordinary_with_turf|unilib:dirt_ordinary 3|unilib:stone_ordinary||||unilib:dirt_ordinary 3|||||Y_MAX|4||72|61
30biomes_glacier_1|Glacier biome|glacier_1|unilib:snow_ordinary_block|unilib:ice_ordinary 2||unilib:stone_ordinary|unilib:ice_ordinary 2||unilib:ice_ordinary||||||Y_MAX|-6||-11|20
30biomes_glacier_2|Glacier biome|glacier_2|unilib:snow_ordinary_block|unilib:snow_ordinary_block 3|unilib:ice_ordinary 4|unilib:stone_ordinary|unilib:ice_ordinary 6||unilib:ice_ordinary||||||Y_MAX|1||-19|40
