# "30biomes" remix - contains only the fir tree and mud from 30biomes
# The _biomes.csv in this remix is not loaded, by default. See the notes in that file

# node_name | original_mod

# 30biomes packages
deco_30biomes_tree_fir|30biomes
deco_30biomes_tree_fir_log|30biomes
dirt_mud_swamp|30biomes
tree_fir|30biomes

# supporting packages (.depends)
mushroom_red|flowers

# supporting packages (.at_least_one)
biome_default_forest_coniferous|default
biome_default_taiga|default
dirt_ordinary_with_cover_snow|default
dirt_ordinary_with_litter_coniferous|default farming
dirt_ordinary_with_turf|default farming moreblocks

# supporting packages (.optional)

# supporting packages (.suggested)
