# "armour" remix - contains everything from the 3d_armor modpack and other armour-related mods
# See also the "3d_armor" remix, which contains only items from the 3d_armor modpack

# node_name | original_mod

# - 3d_armor modpack ------------------------------------------------------------------------------

# 3d_armor/3d_armor packages
# (Code imported to ../lib/shared/armour.lua)

# 3d_armor/3d_armor_ip packages
inventory_armour_ip|3d_armor_ip

# 3d_armor/3d_armor_sfinv packages
inventory_armour_sfinv|3d_armor_sfinv

# 3d_armor/3d_armor_stand packages
misc_stand_armour|3d_armor_stand

# 3d_armor/3d_armor_ui packages
inventory_armour_ui|3d_armor_ui

# 3d_armor/armor_admin packages
armour_boots_admin|armor_admin
armour_chestplate_admin|armor_admin
armour_helmet_admin|armor_admin
armour_leggings_admin|armor_admin

# 3d_armor/armor_bronze packages
armour_boots_bronze|armor_bronze
armour_chestplate_bronze|armor_bronze
armour_helmet_bronze|armor_bronze
armour_leggings_bronze|armor_bronze

# 3d_armor/armor_cactus packages
armour_boots_cactus|armor_cactus
armour_chestplate_cactus|armor_cactus
armour_helmet_cactus|armor_cactus
armour_leggings_cactus|armor_cactus

# 3d_armor/armor_crystal packages
armour_boots_crystallite|armor_crystal
armour_chestplate_crystallite|armor_crystal
armour_helmet_crystallite|armor_crystal
armour_leggings_crystallite|armor_crystal

# 3d_armor/armor_diamond packages
armour_boots_diamond|armor_diamond
armour_chestplate_diamond|armor_diamond
armour_helmet_diamond|armor_diamond
armour_leggings_diamond|armor_diamond

# 3d_armor/armor_gold packages
armour_boots_gold|armor_gold
armour_chestplate_gold|armor_gold
armour_helmet_gold|armor_gold
armour_leggings_gold|armor_gold

# 3d_armor/armor_mithril packages
armour_boots_mithril|armor_mithril
armour_chestplate_mithril|armor_mithril
armour_helmet_mithril|armor_mithril
armour_leggings_mithril|armor_mithril

# 3d_armor/armor_nether packages
armour_boots_nether|armor_nether
armour_chestplate_nether|armor_nether
armour_helmet_nether|armor_nether
armour_leggings_nether|armor_nether

# 3d_armor/armor_steel packages
armour_boots_steel|armor_steel
armour_chestplate_steel|armor_steel
armour_helmet_steel|armor_steel
armour_leggings_steel|armor_steel

# 3d_armor/armor_wood packages
armour_boots_wood|armor_wood
armour_chestplate_wood|armor_wood
armour_helmet_wood|armor_wood
armour_leggings_wood|armor_wood

# 3d_armor/shields packages
armour_shield_admin|shields
armour_shield_bronze|shields
armour_shield_cactus|shields
armour_shield_crystallite|shields
armour_shield_diamond|shields
armour_shield_gold|shields
armour_shield_mithril|shields
armour_shield_nether|shields
armour_shield_steel|shields
armour_shield_wood|shields
shared_armour_shield|shields

# 3d_armor/wieldview packages
# (Code imported to ../lib/effects/wieldview.lua)

# - 3d_armor_gloves mod ---------------------------------------------------------------------------

armour_gauntlets_bronze|3d_armor_gloves
armour_gauntlets_cactus|3d_armor_gloves
armour_gauntlets_crystallite|3d_armor_gloves
armour_gauntlets_diamond|3d_armor_gloves
armour_gauntlets_gold|3d_armor_gloves
armour_gauntlets_mithril|3d_armor_gloves
armour_gauntlets_steel|3d_armor_gloves
armour_gauntlets_wood|3d_armor_gloves

# - armor_expanded modpack ------------------------------------------------------------------------

armour_boots_leather|armor_leather
armour_boots_woven|armor_woven
armour_chestplate_leather|armor_leather
armour_chestplate_woven|armor_woven
armour_helmet_leather|armor_leather
armour_helmet_woven|armor_woven
armour_leggings_leather|armor_leather
armour_leggings_woven|armor_woven

# - technic_armor mod -----------------------------------------------------------------------------

armour_boots_brass|technic_armor
armour_boots_iron_cast|technic_armor
armour_boots_lead|technic_armor
armour_boots_silver|technic_armor
armour_boots_steel_carbon|technic_armor
armour_boots_steel_stainless|technic_armor
armour_boots_tin|technic_armor
armour_chestplate_brass|technic_armor
armour_chestplate_iron_cast|technic_armor
armour_chestplate_lead|technic_armor
armour_chestplate_silver|technic_armor
armour_chestplate_steel_carbon|technic_armor
armour_chestplate_steel_stainless|technic_armor
armour_chestplate_tin|technic_armor
armour_helmet_brass|technic_armor
armour_helmet_iron_cast|technic_armor
armour_helmet_lead|technic_armor
armour_helmet_silver|technic_armor
armour_helmet_steel_carbon|technic_armor
armour_helmet_steel_stainless|technic_armor
armour_helmet_tin|technic_armor
armour_leggings_brass|technic_armor
armour_leggings_iron_cast|technic_armor
armour_leggings_lead|technic_armor
armour_leggings_silver|technic_armor
armour_leggings_steel_carbon|technic_armor
armour_leggings_steel_stainless|technic_armor
armour_leggings_tin|technic_armor
armour_shield_brass|technic_armor
armour_shield_iron_cast|technic_armor
armour_shield_lead|technic_armor
armour_shield_silver|technic_armor
armour_shield_steel_carbon|technic_armor
armour_shield_steel_stainless|technic_armor
armour_shield_tin|technic_armor

# - xtraores modpack ------------------------------------------------------------------------------

# xtraores/xtraores_armor packages

armour_boots_adamantite|xtraores_armor
armour_boots_ozymandium|xtraores_armor
armour_boots_planexium|xtraores_armor
armour_boots_rarium|xtraores_armor
armour_boots_sybilline|xtraores_armor
armour_boots_tritonium|xtraores_armor
armour_boots_unobtainium|xtraores_armor
armour_chestplate_adamantite|xtraores_armor
armour_chestplate_ozymandium|xtraores_armor
armour_chestplate_planexium|xtraores_armor
armour_chestplate_rarium|xtraores_armor
armour_chestplate_sybilline|xtraores_armor
armour_chestplate_tritonium|xtraores_armor
armour_chestplate_unobtainium|xtraores_armor
armour_helmet_adamantite|xtraores_armor
armour_helmet_ozymandium|xtraores_armor
armour_helmet_planexium|xtraores_armor
armour_helmet_rarium|xtraores_armor
armour_helmet_sybilline|xtraores_armor
armour_helmet_tritonium|xtraores_armor
armour_helmet_unobtainium|xtraores_armor
armour_leggings_adamantite|xtraores_armor
armour_leggings_ozymandium|xtraores_armor
armour_leggings_planexium|xtraores_armor
armour_leggings_rarium|xtraores_armor
armour_leggings_sybilline|xtraores_armor
armour_leggings_tritonium|xtraores_armor
armour_leggings_unobtainium|xtraores_armor
armour_shield_adamantite|xtraores_armor
armour_shield_ozymandium|xtraores_armor
armour_shield_planexium|xtraores_armor
armour_shield_rarium|xtraores_armor
armour_shield_sybilline|xtraores_armor
armour_shield_tritonium|xtraores_armor
armour_shield_unobtainium|xtraores_armor

# -------------------------------------------------------------------------------------------------

# supporting packages (.depends)
crop_cotton|farming
item_string_ordinary|farming
metal_adamantite|xtraores
metal_brass|basic_materials technic
metal_bronze|default glemr11 technic
metal_copper|default glemr11 moreblocks technic
metal_gold|default glemr11 technic
metal_iron|default
metal_iron_cast|technic_worldgen technic
metal_lead|glemr11 technic_worldgen technic
metal_mithril|glemr11 moreores technic
metal_ozymandium|xtraores
metal_planexium|xtraores
metal_rarium|xtraores
metal_silver|glemr11 moreores technic
metal_steel|default glemr11 technic
metal_steel_carbon|technic_worldgen technic
metal_steel_stainless|technic_worldgen technic
metal_sybilline|xtraores
metal_tin|default glemr11 technic
metal_tritonium|xtraores
metal_unobtainium|xtraores
mineral_crystallite|ethereal
mineral_diamond|default mtg_plus
plant_cactus_ordinary|default

# supporting packages (.at_least_one)

# supporting packages (.optional)
#container_chest_ordinary|default
#dye_basic|dye bakedclay
#item_screwdriver_ordinary|screwdriver
#machine_furnace_induction|unilib
#machine_polishing|unilib
#metal_chromium|glemr11 technic_worldgen technic
#mineral_mese|default glemr11

# supporting packages (.suggested)
#grass_ordinary|default
