# Vapourisation table, loaded by the "shared_atomic" package
#
# Vapourisation produces "samplings" representing chemical elements (specifically a small quantity
#       of that element). Typically, multiple "samplings" can be used to craft a single ingot,
#       chunk, substance sample (and so on) in the atomic collector
# This file specifies the proportions of different samplings produced for each input item (i.e. each
#       item placed in an atomic vapouriser). The number of samplings required to craft things is
#       described in the construct.csv file
# By default, every vapourisation is randomised (which can be temporarily disabled in the
#       "shared_atomic" package, when necessary). Thus, when we talk about the proportions of gold
#       and silver samplings produced by vapourising some mineral, we're actually talking about the
#       maximum amount of gold and silver that any one vapourisation can produce
#
# Every line in this file consists of three columns
# The first column is an item consumed by the atomic vapouriser, e.g. "unilib:stone_ordinary", or
#       a list of items producing exactly identical output, e.g.
#       "unilib:stone_ordinary unilib:stone_ordinary_block"
# The second column is a factor by which the vapourisation output can be easily increased or
#       decreased, in order to balance the game
# The third column is a string describing the maximum proportions of the samplings produced. For
#       example, "oxygen 60 silicon 40" means that a single input item generates a maximum of 60%
#       oxygen samplings and 40% silicon samplings. Typically, the numbers add up to 100, meaning
#       that they represent percentages. A total of 100 is not compulsory, however.
#       "oxygen 50 silicon 30" would mean that up to 50 oxygen samplings would be produced for every
#       30 silicon samplings
# The maximum number of samplings produced is the product of the second column's vapourisation
#       factor and the third column's proportions; for example, a factor of 0.5 and
#       "oxygen 60 silicon 40" produce up to 30 oxygen samplings and 20 oxygen samplings. (The
#       results of the multiplication are always rounded up, so the maximum number is always at
#       least 1)
# The ACTUAL number of samplings of each type, produced by each vapourisation, is a random number
#       between 0 and the maximum (so even when the probability is 1, there's no guarantee that each
#       type of sampling will be produced in a single vapourisation)
#
# The format of the third column is a sequence of "words", separated by whitespace
# If a "word" containing an alphabetical character matches the name of an element, e.g. "hydrogen"
#       (one of the elements in the third column of periodic_table.csv, converted to lower case),
#       then the corresponding sampling is one of the products of the vapourisation process
# The sampling can be followed by two optional numbers: the first is the proportion of samplings
#       produced (an integer, 1 or above, default 1); the second is the probability that this
#       element's samplings will be produced at all (a fractional number in the range 0-1,
#       default 1)
# The column may contain any number of words; leading or trailing numerical values are ignored, as
#       are any optional numbers after the first two. Thus, the following two lines are identical
#       (but in the second one, all the 99 values are ignored):
#
#   unilib:stone_ordinary|1|oxygen 60 1 silicon 40 1
#   unilib:stone_ordinary|1|99 oxygen 60 1 99 silicon 40 1 99
#
# When the first column specifies an item group, rather than an item, then the output is produced by
#       all items matching the group, IN ADDITION to the item's specific output. For example, these
#       two lines would specify that "unilib:stone_ordinary" produces oxygen, silicon AND gold,
#       in the proportions 60:40:10
#
#   group:smoothstone|1|gold 50 1
#   unilib:stone_ordinary|1|oxygen 60 1 silicon 40 1
#
# Like specific input items, group inputs tend to use proportions that add up to 100. In this case,
#       the word "other" can be used. Consider this example:
#
#   group:smoothstone|1|oxygen 60 1 silicon 30 1 other 10 1
#   unilib:stone_ordinary|1|gold 50 1 silver 50 1
#
# In this case, "unilib:stone_ordinary" (which has the "smoothstone" group) produces up to 60%
#       oxygen, 30% silicon and 10% of whatever is specified by "unilib:stone_ordinary". Thus, it
#       produces up to 60% oxygen, 30% silicon, 5% gold and 5% silver.
# In this situation, the vapourisation factor of "unilib:stone_ordinary" doesn't matter, because the
#       "group:smoothstone" line specifies the combined maximum quantities. In this file, the
#       IGNORE constant is used for the vapourisation factor in those lines
# Also in this situation, the probability for "other" on the "group:smoothstone" line is ignored, so
#       the "unilib:stone_ordinary" line can specify its own probabilities. In this file, "other"
#       probabilities are omitted
#
# As a guide, with:
#       - a vapourisation factor of 1
#       - a sampling proportion of 50%
#       - a probability of 1
#       - a chain of tubes between the vapouriser and collector of the optimal length
#       - one item of output (for example a mineral chunk) requiring 10 samplings
# ...then a stack of input items will produce 55 output items, on average (or a full stack of output
#       items when the debug flags in "atomic" remix packages are enabled)
#
# This file may be modified, but if you do modify it, you should enable the warnings in the
#       "shared_atomic" package until you have eliminated any problems

# input item|vapourisation string

# - item groups -----------------------------------------------------------------------------------

# bushes/trees - carbon 50%, oxygen 42%, hydrogen 6%, various 2% (inc nitrogen, calcium, potassium)
group:tree|1|carbon 50 oxygen 40 hydrogen 7 nitrogen 1 calcium 1 potassium 1
group:wood|0.25|carbon 50 oxygen 40 hydrogen 10
group:leaves|0.33|carbon 50 oxygen 40 hydrogen 10
group:sapling|0.1|carbon 50 oxygen 40 hydrogen 10
group:fence|0.33|carbon 50 oxygen 40 hydrogen 10
group:bush|0.33|carbon 50 oxygen 40 hydrogen 10
group:bushstem|0.5|carbon 50 oxygen 40 hydrogen 10

# stone: oxygen 46-50%, silicon 25-30%
#group:smoothstone|1|oxygen 50 silicon 30 other 20
#group:stoneblock|1|oxygen 55 silicon 35 other 10
#group:stonebrick|1|oxygen 55 silicon 35 other 10
#group:cobble|0.66|oxygen 55 silicon 35 other 10
#group:rubble|0.5|oxygen 55 silicon 35 other 10
#group:mossycobble|0.66|oxygen 55 silicon 35 other 10

# clay: oxygen 50-60%, silicon 20-30%, aluminium 10-20%, various (inc iron, calcium, magnesium,
#   potassium, sodium). The "other" component is exaggerated in proportion to match smoothstone)
group:clay|1|oxygen 50 silicon 20 aluminium 10 0.5 other 20

# coral: oxygen 48%, calcium 40%, carbon 12%
group:coral|0.5|oxygen 48 calcium 40 carbon 12

# dye: carbon 50-60%, oxygen 20-30%, hydrogen 5-10%, nitrogen 5-10%
group:dye|0.25|carbon 55 oxygen 25 hydrogen 10 nitrogen 10

# ferns/flowers/mushrooms: carbon 45-50%, oxygen 40-45%, hydrogen 5-8%, nitrogen 1-3%
group:fern|0.5|carbon 45 oxygen 45 hydrogen 5 nitrogen 3 other 2
group:flower|0.33|carbon 45 oxygen 45 hydrogen 5 nitrogen 3 other 2
group:mushroom|0.25|carbon 45 oxygen 45 hydrogen 5 nitrogen 3 other 2

# gravel: oxygen 45-50%, silicon 25-30%, aluminium 7-12%, iron 3-5%, calcium 1-2% (the "other"
#       component is exaggerated so it's worth vapourising)
group:gravel|1|oxygen 45 silicon 25 aluminium 10 iron 3 calcium 2 other 15

# sand: oxygen 53%, silicon 47% (the "other" component is exaggerated so it's worth vapourising)
group:sand|1|oxygen 42 silicon 38 other 20

# (crop) seeds: carbon 40-50%, oxygen 30-40%, hydrogen 6-10%, nitrogen 1.5-5%, phosphorus 0.5-2%,
#   calcium 0.1-0.5%, magnesium 0.1-0.3%, sulphur 0.1-0.3%, zinc/copper/manganese, iron < 0.1%
group:seed|0.1|carbon 45 oxygen 40 hydrogen 5 nitrogen 3 phosphorus 2 other 5

# soil/dirt: oxygen 46%, silicon 28%, carbon 5-10%, aluminium 8%, iron 5%, calcium 2%, magnesium 2%,
#       potassium 2%, sodium 1%,
group:soil|0.33|oxygen 45 silicon 30 carbon 10 aluminium 10 0.5 other 5

# wool: carbon 50%, oxygen 25%, hydrogen 7%, nitrogen 16%, sulphur 2%
group:wool|0.33|carbon 50 oxygen 25 hydrogen 7 nitrogen 16 sulphur 2

# - clays (oxygen 50 silicon 20 aluminium 10 0.5 other 20) ---------------------------------------

unilib:clay_andesite_white|IGNORE|iron 7 calcium 6 magnesium 5 sodium 5 titanium 1
#unilib:clay_antipodean|IGNORE|
unilib:clay_attapulgite|IGNORE|hydrogen 5 magnesium 2
unilib:clay_attapulgite_lump|IGNORE|hydrogen 5 magnesium 2
#unilib:clay_baked_black|IGNORE|
#unilib:clay_baked_blue|IGNORE|
#unilib:clay_baked_brown|IGNORE|
#unilib:clay_baked_cyan|IGNORE|
#unilib:clay_baked_green|IGNORE|
#unilib:clay_baked_green_dark|IGNORE|
#unilib:clay_baked_grey|IGNORE|
#unilib:clay_baked_grey_dark|IGNORE|
#unilib:clay_baked_magenta|IGNORE|
#unilib:clay_baked_natural|IGNORE|
#unilib:clay_baked_orange|IGNORE|
#unilib:clay_baked_pink|IGNORE|
#unilib:clay_baked_red|IGNORE|
#unilib:clay_baked_violet|IGNORE|
#unilib:clay_baked_white|IGNORE|
#unilib:clay_baked_yellow|IGNORE|
unilib:clay_basalt_pale|IGNORE|iron 12 calcium 8 magnesium 7 sodium 3 titanium 2
