# "bakedclay" remix - contains everything except luckyblocks/coloured_clay compatibility code

# node_name | original_mod

# bakedclay packages
clay_baked_basic|bakedclay
deco_bakedclay_flower_delphinium_blue|bakedclay
deco_bakedclay_flower_lazarus_bell|bakedclay
deco_bakedclay_flower_thistle|bakedclay
deco_bakedclay_grass_reed_mannagrass|bakedclay
flower_delphinium_blue|bakedclay
flower_lazarus_bell|bakedclay
flower_thistle|bakedclay
grass_reed_mannagrass|bakedclay
shared_bakedclay|bakedclay

# supporting packages (.depends)
dirt_ordinary|default farming moreblocks
dye_basic|dye bakedclay
tree_jungle|default doors moreblocks

# supporting packages (.at_least_one)
clay_brown|underch
clay_ordinary|default
sand_ordinary|default

# supporting packages (.optional)
#brick_ordinary|default
#bush_blueberry_ordinary|default
#grass_dry|default
#grass_jungle|default
#grass_ordinary|default
#mushroom_brown|flowers
#plant_cactus_ordinary|default
#plant_shrub_dry|default
#soil_ordinary|farming

# supporting packages (.suggested)
