# "carvings" remix - contains everything from columnia, facade and mymillwork
# Code handling carvings from these mods has been incorporated directly into unilib's core code.
#   This includes some nodes from farlands, whose packages are not otherwise included in this
#   remix

# node_name | original_mod

# columnia packages
decor_block_metal_rusty|columnia
light_lamp_ceiling_normal|columnia
misc_blueprint_column|columnia
misc_bracket_rusty|columnia

# facade packages
machine_carving|facade

# mymillwork packages
machine_milling|mymillwork

# supporting packages (.depends)
glass_ordinary|default moreblocks vessels
item_paper_ordinary|default moreblocks
metal_iron|default
metal_steel|default glemr11 technic
mineral_coal|default technic
mineral_diamond|default mtg_plus
plant_papyrus_ordinary|default mtg_plus
stone_ordinary|default moreblocks technic
torch_ordinary|default

# supporting packages (.at_least_one)
dirt_dry|default
dirt_ordinary|default farming moreblocks
liquid_water_ordinary|default
liquid_water_river|default

# supporting packages (.optional)
#grass_jungle|default
#machine_furnace_induction|unilib
#machine_polishing|unilib
#metal_gold|default glemr11 technic
#mineral_mese|default glemr11
#moss_green|sickles

# supporting packages (.suggested)
