# "cottages" remix - contains everything except the rope-rail item
# See the STANDARDS file for more information about what belongs in each category, and what does not

# node_name | original_mod

# cottages packages
bed_decorative|cottages
bed_mat_sleeping|cottages
bed_mat_straw|cottages
container_barrel_normal|cottages
container_shelf_simple|cottages
door_wood_half|cottages
furniture_bench_simple|cottages
furniture_table_rustic|cottages
furniture_trough_clay|cottages
machine_anvil_simple|cottages
machine_mill_hand|cottages
machine_threshing|cottages
material_loam|cottages
material_thatch|cottages
misc_fence_simple|cottages
misc_flooring_wood|cottages
misc_flooring_wool|cottages
misc_gate_simple|cottages
misc_hay_ordinary|cottages
misc_stove_pipe|cottages
misc_tub|cottages
misc_well_wood|cottages
misc_wheel_wagon|cottages
misc_window_shutter|cottages
pane_glass_rustic|cottages
road_country|cottages
roof_rustic|cottages
roof_slate_normal|cottages
rope_sturdy|cottages
shared_cottages|cottages
tool_hammer_blacksmith|anvil cottages
tool_pitchfork|cottages
trapdoor_hatch_steel|cottages
trapdoor_hatch_wood|cottages

# supporting packages (.depends)
clay_ordinary|default
container_chest_ordinary|default
crop_cotton|farming
crop_wheat|farming
door_wood_ordinary|doors
dye_basic|dye bakedclay
fruit_apple|default
glass_ordinary|default moreblocks vessels
ingredient_flour_ordinary|farming
item_stick_ordinary|default
item_string_ordinary|farming
metal_iron|default
metal_steel|default technic
plant_papyrus_ordinary|default mtg_plus
sand_ordinary|default
shared_default_chest|unilib
stone_ordinary|default moreblocks technic
tree_apple|default doors moreblocks
tree_jungle|default doors moreblocks
wool_basic|wool

# supporting packages (.at_least_one)
dirt_dry|default
dirt_ordinary|default farming moreblocks
machine_anvil_fancy|anvil

# supporting packages (.optional)
#brick_ordinary|default
#bush_blueberry_ordinary|default
#grass_jungle|default
#material_terracotta|basic_materials
#metal_bronze|default technic
#metal_copper|default moreblocks technic
#metal_gold|default technic
#mineral_coal|default technic
#mineral_mese|default
#misc_straw_ordinary|farming darkage
#moss_green|sickles
#mushroom_brown|flowers
#plant_cactus_ordinary|default
#plant_shrub_dry|default
#shared_anvil|anvil
#utensil_mortar_pestle|farming
