# "default" remix - contains almost everything from minetest_game/default

# node_name | original_mod

# ABM packages
abm_standard_cactus_grow|default
abm_standard_lava_cool|default
abm_standard_moss_grow|default underch
abm_standard_papyrus_grow|default
abm_standard_turf_kill|default
abm_standard_turf_spread|default
# Base packages
base_default|unilib
# Biomes
biome_default_desert|default
biome_default_desert_cold|default
biome_default_desert_sandstone|default
biome_default_forest_coniferous|default
biome_default_forest_deciduous|default
biome_default_grassland|default
biome_default_grassland_snowy|default
biome_default_icesheet|default
biome_default_rainforest|default
biome_default_savanna|default
biome_default_taiga|default
biome_default_tundra|default
# Boats
boat_simple|boats
# Bricks
brick_ordinary|default
# Bushes
bush_acacia|default
bush_blueberry_ordinary|default
bush_ordinary|default
bush_pine|default
# Clay
clay_ordinary|default
# Containers
container_chest_ordinary|default
# Coral
coral_block_brown|default
coral_block_orange|default
coral_block_skeleton|default
coral_rooted_cyan|default
coral_rooted_green|default
coral_rooted_pink|default
# Decorations
# N.B. deco_mtgame_dirt_dry must come before all other savanna decorations
deco_default_dirt_dry|default
# For everything else, the order is not important
deco_default_bush_ordinary|default
deco_default_bush_blueberry_ordinary|default
deco_default_bush_acacia|default
deco_default_bush_pine|default
deco_default_coral_mixed|default
deco_default_dirt_permafrost_ordinary_with_moss|default
deco_default_fern_ordinary|default
deco_default_grass_dry|default
deco_default_grass_jungle|default
deco_default_grass_marram_ordinary|default
deco_default_grass_ordinary|default
deco_default_plant_cactus_ordinary|default
deco_default_plant_kelp_ordinary|default
deco_default_plant_papyrus_ordinary|default
deco_default_plant_shrub_dry|default
deco_default_snow_ordinary|default
deco_default_tree_acacia|default
deco_default_tree_acacia_log|default
deco_default_tree_apple|default
deco_default_tree_apple_log|default
deco_default_tree_aspen|default
deco_default_tree_aspen_log|default
deco_default_tree_jungle|default
deco_default_tree_jungle_log|default
deco_default_tree_pine|default
deco_default_tree_pine_log|default
# Dirt
dirt_dry|default
dirt_ordinary|default farming moreblocks
dirt_permafrost_ordinary|default
# Ferns
fern_ordinary|default
# Fruit
fruit_apple|default
fruit_blueberry_ordinary|default
# Furniture
furniture_shelf_bookshelf|default
furniture_shelf_vessel|vessels
# Glass
glass_obsidian|default moreblocks
glass_ordinary|default moreblocks vessels
# Grass
grass_dry|default
grass_jungle|default
grass_marram_ordinary|default
grass_ordinary|default
# Gravel
gravel_ordinary|default mtg_plus
# Ice
ice_ordinary|default ethereal mtg_plus
# Items
item_book_ordinary|default
item_key_ordinary|keys
item_key_skeleton|keys
item_paper_ordinary|default moreblocks
item_stick_ordinary|default
# Ladders
ladder_steel|default
ladder_wood_ordinary|default
# Lights
light_block_mese|default
light_post_mese|default
# Liquids
liquid_lava_ordinary|default
liquid_water_ordinary|default
liquid_water_river|default
# Dungeon loot
loot_default|default
# Machines
machine_furnace_ordinary|default aotearoa
# Metals
metal_bronze|default glemr11 technic
metal_copper|default glemr11 moreblocks technic
metal_gold|default glemr11 technic
metal_iron|default
metal_steel|default glemr11 technic
metal_tin|default glemr11 technic
# Minerals
mineral_coal|default technic
mineral_diamond|default mtg_plus
mineral_flint|default fire mtg_plus
mineral_mese|default glemr11
# Misc
misc_cloud_ordinary|default
# Optional packages for remixes
opt_default|unilib
# Ore distributions
ore_default_clay_ordinary|default
ore_default_dirt_ordinary|default
ore_default_gravel_ordinary|default
ore_default_mineral_mese_block|default
ore_default_sand_silver|default
ore_default_stone_ordinary_with_coal|default
ore_default_stone_ordinary_with_copper|default
ore_default_stone_ordinary_with_diamond|default
ore_default_stone_ordinary_with_gold|default
