# "drinks" remix - contains everything from the "drinks" mod

# node_name | original_mod

# drinks packages
container_barrel_juice|drinks
container_silo_juice|drinks
machine_press_juice|drinks
shared_drinks|drinks

# supporting packages (.depends)
bucket_steel|bucket
glass_ordinary|default moreblocks vessels
item_stick_ordinary|default
metal_iron|default
metal_steel|default glemr11 technic
vessel_glass_empty|thirsty vessels

# supporting packages (.at_least_one)

# supporting packages (.optional)
#liquid_lava_ordinary|default
#liquid_water_ordinary|default
#liquid_water_river|default
#machine_furnace_induction|unilib
#material_scrap_steel|steel
#mineral_mese|default glemr11
#plant_papyrus_ordinary|default mtg_plus
#plant_shrub_dry|default
#vessel_bottle_glass_empty|thirsty vessels
#vessel_bottle_steel_empty|thirsty vessels

# supporting packages (.suggested)
