# "ethereal" remix - contains everything from ethereal-ng
# The original ethereal-ng mod clears biomes and decorations, but retains ore distributions;
#       therefore, it is recommended that this remix is used together with the "mtgame_mini" and
#       "mtgame_ores" remixes
# Note that ethereal-ng adds more ore distributions that appear in desert stone, assuming that the
#       ore distributions from minetest_game are still present
# Coconuts now drop themselves, rather than coconut slices, for consistency with moretrees coconuts
# See the STANDARDS file for more information about what belongs in each category, and what does not

# node_name | original_mod

# ethereal-ng packages
base_ethereal|ethereal
abm_ethereal_dirt_soak|ethereal
abm_ethereal_flora_spread|ethereal
abm_ethereal_ice_snow_melt|ethereal
abm_ethereal_mushroom_spread|ethereal
abm_ethereal_papyrus_bamboo_spread|ethereal
abm_ethereal_torch_extinguish|ethereal
abm_ethereal_water_freeze|ethereal
biome_ethereal_bamboo|ethereal
biome_ethereal_caves|ethereal
biome_ethereal_desert|ethereal
biome_ethereal_fiery|ethereal
biome_ethereal_forest_coniferous|ethereal
biome_ethereal_forest_deciduous|ethereal
biome_ethereal_frost|ethereal
biome_ethereal_glacier|ethereal
biome_ethereal_grassland|ethereal
biome_ethereal_grassy|ethereal
biome_ethereal_grayness|ethereal
biome_ethereal_grove|ethereal
biome_ethereal_jumble|ethereal
biome_ethereal_mediterranean|ethereal
biome_ethereal_mesa|ethereal
biome_ethereal_mountain|ethereal
biome_ethereal_mushroom|ethereal
biome_ethereal_plains|ethereal
biome_ethereal_prairie|ethereal
biome_ethereal_quicksand|ethereal
biome_ethereal_rainforest|ethereal
biome_ethereal_sakura|ethereal
biome_ethereal_sand_clay|ethereal
biome_ethereal_sandstone|ethereal
biome_ethereal_savanna|ethereal
biome_ethereal_swamp|ethereal
biome_ethereal_taiga|ethereal
biome_ethereal_tundra|ethereal
biome_ethereal_underground|ethereal
bush_oriental|ethereal
candle_basic|ethereal
clay_baked_ethereal|ethereal
coral_rooted_blue_glow|ethereal
coral_rooted_green_glow|ethereal
coral_rooted_orange_glow|ethereal
coral_rooted_pink_glow|ethereal
deco_ethereal_bush_acacia|ethereal
deco_ethereal_bush_blueberry_ordinary|ethereal
deco_ethereal_bush_ordinary|ethereal
deco_ethereal_bush_pine|ethereal
deco_ethereal_coral_mixed|ethereal
deco_ethereal_crop_mint_normal|ethereal
deco_ethereal_dirt_dry|ethereal
deco_ethereal_dirt_permafrost_with_moss|ethereal
deco_ethereal_farming_mixed|ethereal
deco_ethereal_farming_mixed_dirt|ethereal
deco_ethereal_fern_boston|ethereal
deco_ethereal_fern_ordinary|ethereal
deco_ethereal_flower_delphinium_blue|ethereal
deco_ethereal_flower_lazarus_bell|ethereal
deco_ethereal_flower_reed_mannagrass|ethereal
deco_ethereal_flower_thistle|ethereal
deco_ethereal_flower_waterlily_ordinary|ethereal
deco_ethereal_flower_with_strawberry|ethereal
deco_ethereal_grass_dry|ethereal
deco_ethereal_grass_jungle|ethereal
deco_ethereal_grass_marram|ethereal
deco_ethereal_grass_ordinary|ethereal
deco_ethereal_liquid_water_ordinary|ethereal
deco_ethereal_mineral_crystallinum|ethereal
deco_ethereal_misc_butterfly|ethereal
deco_ethereal_misc_firefly|ethereal
deco_ethereal_mushroom_brown_red|ethereal
deco_ethereal_mushroom_red|ethereal
deco_ethereal_plant_cactus_ordinary|ethereal
deco_ethereal_plant_cotton_wild|ethereal
deco_ethereal_plant_kelp_ordinary|ethereal
deco_ethereal_plant_papyrus_ordinary|ethereal
deco_ethereal_plant_shrub_dry|ethereal
deco_ethereal_plant_shrub_dry_fiery|ethereal
deco_ethereal_plant_shrub_firethorn|ethereal
deco_ethereal_plant_shrub_snowy|ethereal
deco_ethereal_produce_bean_green|ethereal
deco_ethereal_produce_grape|ethereal
deco_ethereal_produce_melon_pumpkin|ethereal
deco_ethereal_produce_onion_wild|ethereal
deco_ethereal_produce_parsley_flatleaf|ethereal
deco_ethereal_produce_potato_normal|ethereal
deco_ethereal_snow_ordinary|ethereal
deco_ethereal_tree_acacia|ethereal
deco_ethereal_tree_apple|ethereal
deco_ethereal_tree_aspen|ethereal
deco_ethereal_tree_bamboo|ethereal
deco_ethereal_tree_banana|ethereal
deco_ethereal_tree_birch|ethereal
deco_ethereal_tree_frost|ethereal
deco_ethereal_tree_healing|ethereal
deco_ethereal_tree_jungle|ethereal
deco_ethereal_tree_lemon|ethereal
deco_ethereal_tree_mushroom_red|ethereal
deco_ethereal_tree_normal|ethereal
deco_ethereal_tree_olive|ethereal
deco_ethereal_tree_orange|ethereal
deco_ethereal_bush_oriental|ethereal
deco_ethereal_tree_palm|ethereal
deco_ethereal_tree_pine|ethereal
deco_ethereal_tree_redwood|ethereal
deco_ethereal_tree_sakura|ethereal
deco_ethereal_tree_scorched|ethereal
deco_ethereal_tree_vine|ethereal
deco_ethereal_tree_willow_weeping|ethereal
dirt_dried|ethereal
dirt_mossy_crystal|ethereal
dirt_mossy_fiery|ethereal
dirt_mossy_green|ethereal
dirt_mossy_grey|ethereal
dirt_mossy_mushroom|ethereal
dirt_ordinary_with_turf_bamboo|ethereal
dirt_ordinary_with_turf_cold|ethereal
dirt_ordinary_with_turf_crystal|ethereal
dirt_ordinary_with_turf_fiery|ethereal
dirt_ordinary_with_turf_grey|ethereal
dirt_ordinary_with_turf_grove|ethereal
dirt_ordinary_with_turf_mushroom|ethereal
dirt_ordinary_with_turf_prairie|ethereal
dirt_ordinary_with_turf_rainforest|ethereal
door_wood_sakura|ethereal
drink_lemonade|ethereal
feature_ethereal_crater_lava|ethereal
fern_boston|ethereal
flower_fire|ethereal
food_beef_teriyaki|ethereal
food_bread_banana|ethereal
food_chicken_teriyaki|ethereal
food_fish_cooked|ethereal
food_fugu|ethereal
food_jelly_firethorn|ethereal
food_lemon_sweetened|ethereal
food_nuts_pine|ethereal
food_pulp_cactus|ethereal
food_sashimi|ethereal
food_soup_mushroom|ethereal
food_stew_hearty|ethereal
food_sushi_kappamaki|ethereal
food_sushi_nigiri|ethereal
food_sushi_tamago|ethereal
fruit_apple_golden|ethereal
fruit_banana|ethereal
fruit_coconut|ethereal
fruit_lemon|ethereal
fruit_olive|ethereal
fruit_orange|ethereal
hedge_decorative_light|ethereal
hedge_decorative_dark|ethereal
ingredient_agar_powder|ethereal
ingredient_dough_banana|ethereal
ingredient_fish_basic|ethereal
ingredient_oil_olive|ethereal
item_rod_fishing|ethereal
item_worm_juicy|ethereal
ladder_stone|ethereal
light_block_glowstone|ethereal
material_charcoal_artificial_lump|ethereal
material_wax_palm|ethereal
meta_ethereal_illumishrooms|ethereal
mineral_aetherium|ethereal
mineral_crystallinum|ethereal
misc_flooring_bamboo|ethereal
misc_screen_shoji|ethereal
misc_sponge|ethereal
mushroom_illumishroom_cyan|ethereal
mushroom_illumishroom_green|ethereal
mushroom_illumishroom_red|ethereal
ore_ethereal_clay_baked|ethereal
ore_ethereal_sand_undersea|ethereal
ore_ethereal_stone_desert_with_aetherium|ethereal
ore_ethereal_stone_desert_with_coal|ethereal
ore_ethereal_stone_desert_with_copper|ethereal
ore_ethereal_stone_desert_with_diamond|ethereal
ore_ethereal_stone_desert_with_gold|ethereal
ore_ethereal_stone_desert_with_iron|ethereal
ore_ethereal_stone_desert_with_mese|ethereal
ore_ethereal_stone_ordinary_with_aetherium|ethereal
override_ethereal_coral|ethereal
override_ethereal_crafting|ethereal
override_ethereal_ice|ethereal
override_ethereal_item|ethereal
override_ethereal_tree|ethereal
override_ethereal_utensil|ethereal
plant_seaweed_undersea|ethereal
plant_shrub_crystal|ethereal
plant_shrub_dry_fiery|ethereal
plant_shrub_firethorn|ethereal
plant_shrub_snowy|ethereal
potion_flight|ethereal
produce_onion_wild|ethereal
produce_strawberry_normal|ethereal
sand_quicksand|ethereal
sand_undersea|ethereal
staff_gilly|ethereal
staff_light|ethereal
stone_desert_with_aetherium|ethereal
stone_desert_with_coal|unilib
stone_desert_with_copper|unilib
stone_desert_with_diamond|unilib
stone_desert_with_gold|unilib
stone_desert_with_iron|darkage
stone_desert_with_mese|unilib
stone_marble_blue|ethereal
stone_ordinary_with_aetherium|ethereal
structure_ethereal_igloo|ethereal
tool_axe_crystallinum|ethereal
tool_pick_crystallinum|ethereal
tool_shovel_crystallinum|ethereal
tool_sword_crystallinum|ethereal
tree_bamboo|ethereal
tree_banana|ethereal
tree_birch|ethereal
tree_frost|ethereal
tree_healing|ethereal
tree_lemon|ethereal
tree_mushroom_red|ethereal
tree_normal|ethereal
tree_olive|ethereal
tree_orange|ethereal
tree_palm|ethereal
tree_redwood|ethereal
tree_sakura|ethereal
tree_scorched|ethereal
tree_vine|ethereal
tree_willow_weeping|ethereal
vine_normal|ethereal
vine_string_light|ethereal

# supporting packages (.depends)
brick_ordinary|default
bush_acacia|default
bush_blueberry_ordinary|default
bush_ordinary|default
bush_pine|default
clay_ordinary|default
crop_cotton|farming
crop_mint_normal|farming
dirt_dry|default
dirt_ordinary|default farming moreblocks
dirt_permafrost|default
dye_basic|dye bakedclay
fern_ordinary|default
flower_dandelion_white|flowers
flower_dandelion_yellow|flowers
flower_delphinium_blue|bakedclay
flower_geranium_blue|flowers
flower_lazarus_bell|bakedclay
flower_reed_mannagrass|bakedclay
flower_rose_red|flowers
flower_thistle|bakedclay
flower_tulip_orange|flowers
flower_viola_purple|flowers
flower_waterlily_ordinary|flowers
fruit_apple|default
fruit_blueberry_ordinary|default
glass_ordinary|default moreblocks vessels
grass_jungle|default
gravel_ordinary|default mtg_plus
ice_ordinary|default ethereal mtg_plus
item_paper_ordinary|default moreblocks
item_stick_ordinary|default
item_string_ordinary|farming
liquid_lava_ordinary|default
liquid_water_ordinary|default
liquid_water_river|default
metal_copper|default moreblocks technic
metal_gold|default technic
metal_iron|default
metal_steel|default technic
mineral_coal|default technic
mineral_diamond|default mtg_plus
mineral_flint|default fire mtg_plus
mineral_mese|default
misc_beanpole|farming
misc_butterfly|butterflies
misc_firefly|fireflies
misc_trellis|farming
mushroom_brown|flowers
mushroom_red|flowers
plant_cactus_ordinary|default
plant_cotton_wild|farming
plant_kelp_ordinary|default
plant_shrub_dry|default
produce_bean_green|farming
produce_grape|farming
sand_desert|default farming
sand_ordinary|default
sand_silver|default
snow_ordinary|default ethereal mtg_plus
soil_sand_desert|farming
stone_desert|default moreblocks
stone_obsidian|default moreblocks
stone_ordinary|default moreblocks technic
stone_ordinary_with_coal|default
stone_sandstone_ordinary|default moreblocks mtg_plus
torch_ordinary|default
tree_acacia|default doors moreblocks
tree_apple|default doors moreblocks
tree_aspen|default doors moreblocks
tree_jungle|default doors moreblocks
tree_pine|default doors moreblocks
utensil_board_cutting|farming
utensil_bowl_wooden|farming thirsty
utensil_juicer_normal|farming
utensil_mortar_pestle|farming
utensil_saucepan_normal|farming
utensil_tray_baking|farming
vessel_bottle_glass_empty|thirsty vessels
vessel_glass_empty|thirsty vessels

# supporting packages (.at_least_one)
clay_baked_basic|bakedclay
coral_block_brown|default
coral_block_orange|default
coral_block_skeleton|default
coral_rooted_cyan|default
coral_rooted_green|default
coral_rooted_pink|default
crop_hemp|farming
crop_sunflower_giant|farming
grass_marram|default
grass_ordinary|default
plant_papyrus_ordinary|default mtg_plus
produce_artichoke|farming
produce_beetroot_normal|farming
produce_blackberry|farming
produce_blueberry_highbush|farming
produce_cabbage_normal|farming
produce_carrot_normal|farming
produce_chilli_normal|farming
produce_coffee|farming
produce_corn_normal|farming
produce_cucumber_normal|farming
produce_garlic_normal|farming
produce_lettuce|farming
produce_melon|farming
produce_onion_normal|farming
produce_parsley_flatleaf|farming
produce_pea|farming
produce_pepper|farming
produce_pineapple|farming
produce_potato_normal|farming
produce_pumpkin_yellow|farming
produce_raspberry|farming
produce_rhubarb|farming
produce_soy_normal|farming
produce_tomato_salad|farming
produce_vanilla|farming

# supporting packages (.optional)
#crop_rice_white|farming
#fire_permanent|fire underch
#flower_chrysanthemum_green|flowers
#flower_tulip_black|flowers
#flower_waterlily_ordinary_alt|pl_waterlilies
#grass_dry|default
#gravel_sandstone_ordinary|unilib
#gravel_stone_desert|glemr11
#item_book_ordinary|default
#item_sweeper|moreblocks
#misc_petals|sickles
#moss_green|sickles
#soil_arid|farming
#soil_ordinary|farming
#stone_sandstone_silver|default mtg_plus

# supporting packages (.suggested)
#bucket_steel|bucket
#fire_ordinary|fire
#ingredient_cornstarch|farming
#ingredient_flour_ordinary|farming
#ingredient_sauce_soy|farming
#ingredient_sugar_normal|farming
#machine_furnace_ordinary|default aotearoa
