# "farming_redo" remix - contains everything in farming_redo that hasn't already been provided by
#       other mods. Note that lucky_block stuff has not been imported, and that the sand soil
#       created by minetest_game, but removed by farming_redo, is preserved in unilib

# node_name | original_mod

# farming_redo packages
abm_standard_crop_grow|farming
abm_standard_soil_convert|farming
admin_tool_hoe|farming
crop_barley|farming
crop_hemp|farming
crop_mint_normal|farming
crop_oat|farming
crop_rice_white|farming
crop_rye|farming
crop_sunflower_giant|farming
deco_farming_redo_crop_hemp|farming
deco_farming_redo_crop_mint_normal|farming
deco_farming_redo_crop_sunflower_giant|farming
deco_farming_redo_produce_artichoke|farming
deco_farming_redo_produce_bean_green|farming
deco_farming_redo_produce_beetroot_normal|farming
deco_farming_redo_produce_blackberry|farming
deco_farming_redo_produce_blueberry_highbush|farming
deco_farming_redo_produce_cabbage_normal|farming
deco_farming_redo_produce_carrot_normal|farming
deco_farming_redo_produce_chilli_normal|farming
deco_farming_redo_produce_coffee|farming
deco_farming_redo_produce_corn_normal|farming
deco_farming_redo_produce_cucumber_normal|farming
deco_farming_redo_produce_garlic_normal|farming
deco_farming_redo_produce_grape|farming
deco_farming_redo_produce_lettuce|farming
deco_farming_redo_produce_melon|farming
deco_farming_redo_produce_onion_normal|farming
deco_farming_redo_produce_parsley_flatleaf|farming
deco_farming_redo_produce_pea|farming
deco_farming_redo_produce_pepper|farming
deco_farming_redo_produce_pineapple|farming
deco_farming_redo_produce_potato_normal|farming
deco_farming_redo_produce_pumpkin_yellow|farming
deco_farming_redo_produce_raspberry|farming
deco_farming_redo_produce_rhubarb|farming
deco_farming_redo_produce_soy_normal|farming
deco_farming_redo_produce_tomato_salad|farming
deco_farming_redo_produce_vanilla|farming
drink_cup_coffee|farming
drink_cup_tea_mint|farming
food_artichoke_jerusalem|farming
food_bibimbap|farming
food_bread_garlic|farming
food_bread_multigrain|farming
food_bread_pumpkin|farming
food_bread_rice|farming
food_bread_sliced|farming
food_bread_sunflower|farming
food_bread_toast|farming
food_burger_cheese|farming
food_cake_jaffa|farming
food_carrot_gold|farming
food_cheese_vegan|farming
food_chilli_bowl|farming
food_chocolate_biscuit|farming
food_chocolate_dark|farming
food_corn_cob_normal|farming
food_doughnut_apple|farming
food_doughnut_chocolate|farming
food_doughnut_normal|farming
food_flan_vanilla|farming
food_gyoza|farming
food_mac_and_cheese|farming
food_milk_soy|farming
food_mochi|farming
food_muffin_blueberry|farming
food_omelette_potato|farming
food_onigiri|farming
food_paella|farming
food_pasta|farming
food_pea|farming
food_pepper|farming
food_pie_apple|farming
food_pie_blueberry_simple|farming
food_pie_rhubarb|farming
food_popcorn|farming
food_porridge|farming
food_potato_baked|farming
food_potato_spanish|farming
food_salad_normal|farming
food_salad_potato|farming
food_seed_sunflower_toasted|farming
food_smoothie_raspberry|farming
food_smoothie_triple_berry|farming
food_soup_beetroot|farming
