# Biome table for the "glemr11" remix

# Biome name|Description|Original biome name|Dust node|Top node and depth|Fill node and depth|Stone node|Top water node and depth|Water node|River node|Riverbed node and depth|Cave liquid node|Dungeon node|Dungeon alternative node|Dungeon stair node|Max height|Min height|Vertical blend|Heat|Humidity

# Hot biomes
glemr11_hot_humid_ocean|Hot humid ocean biome|hot_humid_ocean||unilib:sand_ordinary 4|unilib:sand_ordinary 6|unilib:stone_basalt_dark|||||||||BEACH_MIN|OCEAN||HOT|HUMID
glemr11_hot_humid_beach|Hot humid beach biome|hot_humid_beach||unilib:sand_ordinary 2|unilib:sand_ordinary 4|unilib:stone_basalt_dark|||||||||BEACH_MAX|BEACH_MIN||HOT|HUMID
glemr11_hot_humid_coastal|Hot humid coastal biome|hot_humid_coastal||unilib:dirt_ordinary_with_turf_hot_humid_coastal 1|unilib:dirt_silt_coarse 6|unilib:stone_basalt_dark|||||||||COASTAL|BEACH_MAX||HOT|HUMID
glemr11_hot_humid_lowland|Hot humid lowland biome|hot_humid_lowland||unilib:dirt_ordinary_with_turf_hot_humid_lowland 1|unilib:dirt_silt_fine 5|unilib:stone_basalt_dark|||||||||LOWLAND|COASTAL||HOT|HUMID
glemr11_hot_humid_shelf|Hot humid shelfbiome|hot_humid_shelf||unilib:dirt_ordinary_with_turf_hot_humid_shelf 1|unilib:dirt_dark 4|unilib:stone_basalt_dark|||||||||SHELF|LOWLAND||HOT|HUMID
glemr11_hot_humid_highland|Hot humid highland biome|hot_humid_highland||unilib:dirt_ordinary_with_turf_hot_humid_highland 1|unilib:dirt_ordinary 3|unilib:stone_basalt_dark|||||||||HIGHLAND|SHELF||HOT|HUMID
glemr11_hot_humid_mountain|Hot humid mountain biome|hot_humid_mountain||unilib:stone_brownstone_dark 10|unilib:stone_basalt_dark 20|unilib:stone_basalt_dark|||||||||MOUNTAIN|HIGHLAND||HOT|HUMID
glemr11_hot_humid_strato|Hot humid stratospheric biome|hot_humid_strato||unilib:stone_sandstone_ordinary 15|unilib:stone_sandstone_desert 25|unilib:stone_sandstone_brown|||||||||STRATO|MOUNTAIN||HOT|HUMID
glemr11_hot_semihumid_ocean|Hot semi-humid ocean biome|hot_semihumid_ocean||unilib:sand_ordinary 4|unilib:sand_ordinary 6|unilib:stone_basalt_dark|||||||||BEACH_MIN|OCEAN||HOT|SEMIHUMID
glemr11_hot_semihumid_beach|Hot semi-humid beach biome|hot_semihumid_beach||unilib:sand_volcanic_dust 2|unilib:sand_ordinary 4|unilib:stone_basalt_dark|||||||||BEACH_MAX|BEACH_MIN||HOT|SEMIHUMID
glemr11_hot_semihumid_coastal|Hot semi-humid coastal biome|hot_semihumid_coastal||unilib:dirt_ordinary_with_turf_hot_semihumid_coastal 1|unilib:dirt_silt_fine 6|unilib:stone_basalt_dark|||||||||COASTAL|BEACH_MAX||HOT|SEMIHUMID
glemr11_hot_semihumid_lowland|Hot semi-humid lowland biome|hot_semihumid_lowland||unilib:dirt_ordinary_with_turf_hot_semihumid_lowland 1|unilib:dirt_dark 5|unilib:stone_basalt_dark|||||||||LOWLAND|COASTAL||HOT|SEMIHUMID
glemr11_hot_semihumid_shelf|Hot semi-humid shelf biome|hot_semihumid_shelf||unilib:dirt_ordinary_with_turf_hot_semihumid_shelf 1|unilib:dirt_ordinary 4|unilib:stone_basalt_dark|||||||||SHELF|LOWLAND||HOT|SEMIHUMID
glemr11_hot_semihumid_highland|Hot semi-humid highland biome|hot_semihumid_highland||unilib:dirt_ordinary_with_turf_hot_semihumid_highland 1|unilib:dirt_coarse 3|unilib:stone_basalt_dark|||||||||HIGHLAND|SHELF||HOT|SEMIHUMID
glemr11_hot_semihumid_mountain|Hot semi-humid mountain biome|hot_semihumid_mountain||unilib:stone_sandstone_brown 10|unilib:stone_brownstone_dark 20|unilib:stone_basalt_dark|||||||||MOUNTAIN|HIGHLAND||HOT|SEMIHUMID
glemr11_hot_semihumid_strato|Hot semi-humid stratospheric biome|hot_semihumid_strato||unilib:stone_sandstone_ordinary 15|unilib:stone_sandstone_desert 25|unilib:stone_sandstone_brown|||||||||STRATO|MOUNTAIN||HOT|SEMIHUMID
glemr11_hot_temperate_ocean|Hot temperate ocean biome|hot_temperate_ocean||unilib:sand_ordinary 4|unilib:sand_ordinary 6|unilib:stone_brownstone_dark|||||||||BEACH_MIN|OCEAN||HOT|TEMPERATE
glemr11_hot_temperate_beach|Hot temperate beach biome|hot_temperate_beach||unilib:sand_volcanic_dust 2|unilib:sand_ordinary 4|unilib:stone_brownstone_dark|||||||||BEACH_MAX|BEACH_MIN||HOT|TEMPERATE
glemr11_hot_temperate_coastal|Hot temperate coastal biome|hot_temperate_coastal||unilib:dirt_ordinary_with_turf_hot_temperate_coastal 1|unilib:dirt_dark 6|unilib:stone_brownstone_dark|||||||||COASTAL|BEACH_MAX||HOT|TEMPERATE
glemr11_hot_temperate_lowland|Hot temperate lowland biome|hot_temperate_lowland||unilib:dirt_ordinary_with_turf_hot_temperate_lowland 1|unilib:dirt_ordinary 5|unilib:stone_brownstone_dark|||||||||LOWLAND|COASTAL||HOT|TEMPERATE
glemr11_hot_temperate_shelf|Hot temperate shelf biome|hot_temperate_shelf||unilib:dirt_ordinary_with_turf_hot_temperate_shelf 1|unilib:dirt_coarse 4|unilib:stone_brownstone_dark|||||||||SHELF|LOWLAND||HOT|TEMPERATE
glemr11_hot_temperate_highland|Hot temperate highland biome|hot_temperate_highland||unilib:dirt_ordinary_with_turf_hot_temperate_highland 1|unilib:clay_red 3|unilib:stone_brownstone_dark|||||||||HIGHLAND|SHELF||HOT|TEMPERATE
glemr11_hot_temperate_mountain|Hot temperate mountain biome|hot_temperate_mountain||unilib:stone_desert 10|unilib:stone_sandstone_brown 20|unilib:stone_brownstone_dark|||||||||MOUNTAIN|HIGHLAND||HOT|TEMPERATE
glemr11_hot_temperate_strato|Hot tempera testratospheric biome|hot_temperate_strato||unilib:stone_sandstone_ordinary 15|unilib:stone_sandstone_desert 25|unilib:stone_sandstone_brown|||||||||STRATO|MOUNTAIN||HOT|TEMPERATE
glemr11_hot_semiarid_ocean|Hot semi-arid ocean biome|hot_semiarid_ocean||unilib:sand_ordinary 2|unilib:sand_ordinary 4|unilib:stone_sandstone_brown|||||||||BEACH_MIN|OCEAN||HOT|SEMIARID
glemr11_hot_semiarid_beach|Hot semi-arid beach biome|hot_semiarid_beach||unilib:sand_ordinary 1|unilib:dirt_clayey 4|unilib:stone_sandstone_brown|||||||||BEACH_MAX|BEACH_MIN||HOT|SEMIARID
glemr11_hot_semiarid_coastal|Hot semi-arid coastal biome|hot_semiarid_coastal||unilib:dirt_ordinary_with_turf_hot_semiarid_coastal 1|unilib:dirt_ordinary 6|unilib:stone_sandstone_brown|||||||||COASTAL|BEACH_MAX||HOT|SEMIARID
glemr11_hot_semiarid_lowland|Hot semi-arid lowland biome|hot_semiarid_lowland||unilib:dirt_ordinary_with_turf_hot_semiarid_lowland 1|unilib:dirt_coarse 5|unilib:stone_sandstone_brown|||||||||LOWLAND|COASTAL||HOT|SEMIARID
glemr11_hot_semiarid_shelf|Hot semi-arid shelf biome|hot_semiarid_shelf||unilib:dirt_ordinary_with_turf_hot_semiarid_shelf 1|unilib:clay_red 4|unilib:stone_sandstone_brown|||||||||SHELF|LOWLAND||HOT|SEMIARID
glemr11_hot_semiarid_highland|Hot semi-arid highland biome|hot_semiarid_highland||unilib:dirt_ordinary_with_turf_hot_semiarid_highland 1|unilib:dirt_clayey 3|unilib:stone_sandstone_brown|||||||||HIGHLAND|SHELF||HOT|SEMIARID
glemr11_hot_semiarid_mountain|Hot semi-arid mountain biome|hot_semiarid_mountain||unilib:stone_sandstone_desert 10|unilib:stone_desert 20|unilib:stone_sandstone_brown|||||||||MOUNTAIN|HIGHLAND||HOT|SEMIARID
glemr11_hot_semiarid_strato|Hot semi-arid stratospheric biome|hot_semiarid_strato||unilib:stone_sandstone_ordinary 15|unilib:stone_sandstone_desert 25|unilib:stone_sandstone_brown|||||||||STRATO|MOUNTAIN||HOT|SEMIARID
glemr11_hot_arid_ocean|Hot arid ocean biome|hot_arid_ocean||unilib:sand_ordinary 2|unilib:clay_red 4|unilib:stone_basalt_dark|||||||||BEACH_MIN|OCEAN||HOT|ARID
glemr11_hot_arid_beach|Hot arid beach biome|hot_arid_beach||unilib:gravel_sandstone_desert 1|unilib:clay_red 4|unilib:stone_basalt_dark|||||||||BEACH_MAX|BEACH_MIN||HOT|ARID
