# Decoration table for the "glemr11" remix

# Deco type|Deco name|Max height|Min height|Biomes|Place on|Spawn by|Num spawn by|Fill ratio|Height max|Flags|Side length

simple|unilib:stone_basalt_dark|4|1|glemr11_cold_arid_beach|unilib:dirt_ordinary_with_cover_snow|||0.005|||
simple|unilib:stone_granite_dark|4|1|glemr11_cold_arid_beach|unilib:dirt_ordinary_with_cover_snow|||0.005|||
simple|unilib:plant_fungus_ground|COASTAL|BEACH_MAX|glemr11_cold_arid_coastal|unilib:dirt_ordinary_with_cover_snow|||0.005|||
simple|unilib:plant_weed_stone|COASTAL|BEACH_MAX|glemr11_cold_arid_coastal|unilib:dirt_ordinary_with_cover_snow|||0.005|||
simple|unilib:stone_basalt_dark|COASTAL|BEACH_MAX|glemr11_cold_arid_coastal|unilib:dirt_ordinary_with_cover_snow|||0.005|||
simple|unilib:stone_granite_dark|COASTAL|BEACH_MAX|glemr11_cold_arid_coastal|unilib:dirt_ordinary_with_cover_snow|||0.005|||
simple|unilib:plant_fungus_ground|HIGHLAND|SHELF|glemr11_cold_arid_highland|unilib:dirt_permafrost_dark|||0.005|||
simple|unilib:plant_fungus_ground|LOWLAND|COASTAL|glemr11_cold_arid_lowland|unilib:dirt_permafrost_dark|||0.005|||
simple|unilib:plant_weed_stone|LOWLAND|COASTAL|glemr11_cold_arid_lowland|unilib:dirt_permafrost_dark|||0.005|||
simple|unilib:stone_gabbro_red|LOWLAND|COASTAL|glemr11_cold_arid_lowland|unilib:dirt_permafrost_dark|||0.005|||
simple|unilib:stone_granite_dark|LOWLAND|COASTAL|glemr11_cold_arid_lowland|unilib:dirt_permafrost_dark|||0.005|||
simple|unilib:plant_fungus_ground|SHELF|LOWLAND|glemr11_cold_arid_shelf|unilib:dirt_permafrost_dark|||0.005|||
simple|unilib:plant_weed_stone|SHELF|LOWLAND|glemr11_cold_arid_shelf|unilib:dirt_permafrost_dark|||0.005|||
simple|unilib:plant_shrub_snowy|BEACH_MAX|1|glemr11_cold_humid_beach|unilib:dirt_ordinary_with_cover_snow|||0.001|||
simple|unilib:stone_brownstone_dark|BEACH_MAX|1|glemr11_cold_humid_beach|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_1|BEACH_MAX|2|glemr11_cold_humid_beach|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_2|BEACH_MAX|2|glemr11_cold_humid_beach|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_3|BEACH_MAX|2|glemr11_cold_humid_beach|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_4|BEACH_MAX|2|glemr11_cold_humid_beach|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_5|BEACH_MAX|2|glemr11_cold_humid_beach|unilib:dirt_ordinary_with_cover_snow|||0.01|||
schematic|unilib_glem_tree_spruce_1|COASTAL|BEACH_MAX|glemr11_cold_humid_coastal|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_spruce_2|COASTAL|BEACH_MAX|glemr11_cold_humid_coastal|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_spruce_3|COASTAL|BEACH_MAX|glemr11_cold_humid_coastal|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_spruce_4|COASTAL|BEACH_MAX|glemr11_cold_humid_coastal|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_spruce_5|COASTAL|BEACH_MAX|glemr11_cold_humid_coastal|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_spruce_6|COASTAL|BEACH_MAX|glemr11_cold_humid_coastal|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_spruce_7|COASTAL|BEACH_MAX|glemr11_cold_humid_coastal|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_fir_1|COASTAL|BEACH_MAX|glemr11_cold_humid_coastal|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_pine_1|COASTAL|BEACH_MAX|glemr11_cold_humid_coastal|unilib:dirt_ordinary_with_cover_snow|||0.005|||
simple|unilib:grass_dry_1|COASTAL|BEACH_MAX|glemr11_cold_humid_coastal|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_dry_2|COASTAL|BEACH_MAX|glemr11_cold_humid_coastal|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_dry_3|COASTAL|BEACH_MAX|glemr11_cold_humid_coastal|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_dry_4|COASTAL|BEACH_MAX|glemr11_cold_humid_coastal|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_dry_5|COASTAL|BEACH_MAX|glemr11_cold_humid_coastal|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:plant_shrub_snowy|COASTAL|BEACH_MAX|glemr11_cold_humid_coastal|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:plant_shrub_taiga|COASTAL|BEACH_MAX|glemr11_cold_humid_coastal|unilib:dirt_ordinary_with_cover_snow|||0.01|||
schematic|unilib_glem_tree_spruce_mature_11|HIGHLAND|SHELF|glemr11_cold_humid_highland|unilib:dirt_ordinary_with_cover_snow|||0.001|||
schematic|unilib_glem_tree_spruce_mature_12|HIGHLAND|SHELF|glemr11_cold_humid_highland|unilib:dirt_ordinary_with_cover_snow|||0.001|||
schematic|unilib_glem_tree_spruce_mature_13|HIGHLAND|SHELF|glemr11_cold_humid_highland|unilib:dirt_ordinary_with_cover_snow|||0.001|||
schematic|unilib_glem_tree_spruce_1|HIGHLAND|SHELF|glemr11_cold_humid_highland|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_spruce_2|HIGHLAND|SHELF|glemr11_cold_humid_highland|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_spruce_3|HIGHLAND|SHELF|glemr11_cold_humid_highland|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_spruce_4|HIGHLAND|SHELF|glemr11_cold_humid_highland|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_spruce_5|HIGHLAND|SHELF|glemr11_cold_humid_highland|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_spruce_6|HIGHLAND|SHELF|glemr11_cold_humid_highland|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_spruce_7|HIGHLAND|SHELF|glemr11_cold_humid_highland|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_fir_1|HIGHLAND|SHELF|glemr11_cold_humid_highland|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_fir_3|HIGHLAND|SHELF|glemr11_cold_humid_highland|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_fir_douglas_coast_5|HIGHLAND|SHELF|glemr11_cold_humid_highland|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_fir_douglas_coast_6|HIGHLAND|SHELF|glemr11_cold_humid_highland|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_fir_douglas_coast_14|HIGHLAND|SHELF|glemr11_cold_humid_highland|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_fir_douglas_coast_15|HIGHLAND|SHELF|glemr11_cold_humid_highland|unilib:dirt_ordinary_with_cover_snow|||0.005|||
simple|unilib:grass_frozen_1|HIGHLAND|SHELF|glemr11_cold_humid_highland|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_2|HIGHLAND|SHELF|glemr11_cold_humid_highland|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_3|HIGHLAND|SHELF|glemr11_cold_humid_highland|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_4|HIGHLAND|SHELF|glemr11_cold_humid_highland|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_5|HIGHLAND|SHELF|glemr11_cold_humid_highland|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:plant_shrub_snowy|HIGHLAND|SHELF|glemr11_cold_humid_highland|unilib:dirt_ordinary_with_cover_snow|||0.01|||
schematic|unilib_glem_tree_spruce_1|LOWLAND|COASTAL|glemr11_cold_humid_lowland|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_spruce_2|LOWLAND|COASTAL|glemr11_cold_humid_lowland|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_spruce_3|LOWLAND|COASTAL|glemr11_cold_humid_lowland|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_spruce_4|LOWLAND|COASTAL|glemr11_cold_humid_lowland|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_spruce_5|LOWLAND|COASTAL|glemr11_cold_humid_lowland|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_spruce_6|LOWLAND|COASTAL|glemr11_cold_humid_lowland|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_spruce_7|LOWLAND|COASTAL|glemr11_cold_humid_lowland|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_fir_1|LOWLAND|COASTAL|glemr11_cold_humid_lowland|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_pine_1|LOWLAND|COASTAL|glemr11_cold_humid_lowland|unilib:dirt_ordinary_with_cover_snow|||0.005|||
simple|unilib:grass_frozen_1|LOWLAND|COASTAL|glemr11_cold_humid_lowland|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_2|LOWLAND|COASTAL|glemr11_cold_humid_lowland|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_3|LOWLAND|COASTAL|glemr11_cold_humid_lowland|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_4|LOWLAND|COASTAL|glemr11_cold_humid_lowland|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_5|LOWLAND|COASTAL|glemr11_cold_humid_lowland|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:plant_shrub_snowy|LOWLAND|COASTAL|glemr11_cold_humid_lowland|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:plant_shrub_taiga|LOWLAND|COASTAL|glemr11_cold_humid_lowland|unilib:dirt_ordinary_with_cover_snow|||0.01|||
schematic|unilib_glem_tree_spruce_1|SHELF|LOWLAND|glemr11_cold_humid_shelf|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_spruce_2|SHELF|LOWLAND|glemr11_cold_humid_shelf|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_spruce_3|SHELF|LOWLAND|glemr11_cold_humid_shelf|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_spruce_4|SHELF|LOWLAND|glemr11_cold_humid_shelf|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_spruce_5|SHELF|LOWLAND|glemr11_cold_humid_shelf|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_spruce_6|SHELF|LOWLAND|glemr11_cold_humid_shelf|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_spruce_7|SHELF|LOWLAND|glemr11_cold_humid_shelf|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_fir_1|SHELF|LOWLAND|glemr11_cold_humid_shelf|unilib:dirt_ordinary_with_cover_snow|||0.005|||
schematic|unilib_glem_tree_pine_1|SHELF|LOWLAND|glemr11_cold_humid_shelf|unilib:dirt_ordinary_with_cover_snow|||0.005|||
simple|unilib:grass_frozen_1|SHELF|LOWLAND|glemr11_cold_humid_shelf|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_2|SHELF|LOWLAND|glemr11_cold_humid_shelf|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_3|SHELF|LOWLAND|glemr11_cold_humid_shelf|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_4|SHELF|LOWLAND|glemr11_cold_humid_shelf|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_5|SHELF|LOWLAND|glemr11_cold_humid_shelf|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:plant_shrub_snowy|SHELF|LOWLAND|glemr11_cold_humid_shelf|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:plant_shrub_taiga|SHELF|LOWLAND|glemr11_cold_humid_shelf|unilib:dirt_ordinary_with_cover_snow|||0.01|||
simple|unilib:grass_frozen_1|4|1|glemr11_cold_semiarid_beach|unilib:dirt_ordinary_with_cover_snow|||0.005|||
simple|unilib:grass_frozen_2|4|1|glemr11_cold_semiarid_beach|unilib:dirt_ordinary_with_cover_snow|||0.005|||
simple|unilib:grass_frozen_3|4|1|glemr11_cold_semiarid_beach|unilib:dirt_ordinary_with_cover_snow|||0.005|||
simple|unilib:grass_frozen_4|4|1|glemr11_cold_semiarid_beach|unilib:dirt_ordinary_with_cover_snow|||0.005|||
simple|unilib:grass_frozen_5|4|1|glemr11_cold_semiarid_beach|unilib:dirt_ordinary_with_cover_snow|||0.005|||
simple|unilib:plant_nettle_carduus|4|1|glemr11_cold_semiarid_beach|unilib:dirt_ordinary_with_cover_snow|||0.005|||
simple|unilib:plant_weed_stone|COASTAL|BEACH_MAX|glemr11_cold_semiarid_coastal|unilib:dirt_permafrost_dark|||0.005|||
simple|unilib:plant_saxifrage_purple|COASTAL|BEACH_MAX|glemr11_cold_semiarid_coastal|unilib:dirt_permafrost_dark|||0.005|||
simple|unilib:plant_nettle_carduus|COASTAL|BEACH_MAX|glemr11_cold_semiarid_coastal|unilib:dirt_permafrost_dark|||0.005|||
simple|unilib:plant_shrub_snowy|COASTAL|BEACH_MAX|glemr11_cold_semiarid_coastal|unilib:dirt_permafrost_dark|||0.005|||
simple|unilib:grass_frozen_1|COASTAL|BEACH_MAX|glemr11_cold_semiarid_coastal|unilib:dirt_permafrost_dark|||0.01|||
simple|unilib:grass_frozen_2|COASTAL|BEACH_MAX|glemr11_cold_semiarid_coastal|unilib:dirt_permafrost_dark|||0.01|||
simple|unilib:grass_frozen_3|COASTAL|BEACH_MAX|glemr11_cold_semiarid_coastal|unilib:dirt_permafrost_dark|||0.01|||
simple|unilib:grass_frozen_4|COASTAL|BEACH_MAX|glemr11_cold_semiarid_coastal|unilib:dirt_permafrost_dark|||0.01|||
simple|unilib:grass_frozen_5|COASTAL|BEACH_MAX|glemr11_cold_semiarid_coastal|unilib:dirt_permafrost_dark|||0.01|||
simple|unilib:plant_saxifrage_purple|HIGHLAND|SHELF|glemr11_cold_semiarid_highland|unilib:dirt_permafrost_dark|||0.005|||
simple|unilib:plant_nettle_carduus|HIGHLAND|SHELF|glemr11_cold_semiarid_highland|unilib:dirt_permafrost_dark|||0.005|||
simple|unilib:grass_frozen_1|HIGHLAND|SHELF|glemr11_cold_semiarid_highland|unilib:dirt_permafrost_dark|||0.01|||
simple|unilib:grass_frozen_2|HIGHLAND|SHELF|glemr11_cold_semiarid_highland|unilib:dirt_permafrost_dark|||0.01|||
simple|unilib:grass_frozen_3|HIGHLAND|SHELF|glemr11_cold_semiarid_highland|unilib:dirt_permafrost_dark|||0.01|||
simple|unilib:grass_frozen_4|HIGHLAND|SHELF|glemr11_cold_semiarid_highland|unilib:dirt_permafrost_dark|||0.01|||
simple|unilib:grass_frozen_5|HIGHLAND|SHELF|glemr11_cold_semiarid_highland|unilib:dirt_permafrost_dark|||0.01|||
simple|unilib:plant_weed_stone|LOWLAND|COASTAL|glemr11_cold_semiarid_lowland|unilib:dirt_permafrost_dark|||0.005|||
simple|unilib:plant_saxifrage_purple|LOWLAND|COASTAL|glemr11_cold_semiarid_lowland|unilib:dirt_permafrost_dark|||0.005|||
simple|unilib:plant_nettle_carduus|LOWLAND|COASTAL|glemr11_cold_semiarid_lowland|unilib:dirt_permafrost_dark|||0.005|||
simple|unilib:plant_shrub_snowy|LOWLAND|COASTAL|glemr11_cold_semiarid_lowland|unilib:dirt_permafrost_dark|||0.005|||
simple|unilib:grass_frozen_1|LOWLAND|COASTAL|glemr11_cold_semiarid_lowland|unilib:dirt_permafrost_dark|||0.0075|||
simple|unilib:grass_frozen_2|LOWLAND|COASTAL|glemr11_cold_semiarid_lowland|unilib:dirt_permafrost_dark|||0.0075|||
