# Ecosystem table for the "glemr11" remix
# Ecosystems create variety within biomes, placing ore distributions in which a unique selection of
#       decorations can be place
# This CSV is read by the "biome_glemr11" package

#Ore_Type|Biome|Ore name|Wherein|Threshold|Max height|Min height

# Hot biomes
dirt|glemr11_hot_humid_beach|unilib:sand_silt|unilib:sand_ordinary|0.8|BEACH_MAX|BEACH_MIN
dirt|glemr11_hot_humid_coastal|unilib:dirt_black_with_turf_hot_humid_coastal|unilib:dirt_ordinary_with_turf_hot_humid_coastal|0.8|COASTAL|BEACH_MAX
dirt|glemr11_hot_humid_coastal|unilib:dirt_brown_with_turf_hot_humid_coastal|unilib:dirt_ordinary_with_turf_hot_humid_coastal|0.8|COASTAL|BEACH_MAX
dirt|glemr11_hot_humid_coastal|unilib:dirt_clayey_with_turf_hot_humid_coastal|unilib:dirt_ordinary_with_turf_hot_humid_coastal|0.8|COASTAL|BEACH_MAX
dirt|glemr11_hot_humid_coastal|unilib:dirt_sandy_with_turf_hot_humid_coastal|unilib:dirt_ordinary_with_turf_hot_humid_coastal|0.8|COASTAL|BEACH_MAX
dirt|glemr11_hot_humid_coastal|unilib:dirt_silt_fine_with_turf_hot_humid_coastal|unilib:dirt_ordinary_with_turf_hot_humid_coastal|0.8|COASTAL|BEACH_MAX
fungi|glemr11_hot_humid_coastal|unilib:dirt_black_with_litter_fungi|unilib:dirt_ordinary_with_turf_hot_humid_coastal|0.8|COASTAL|BEACH_MAX
dirt|glemr11_hot_humid_coastal|unilib:dirt_black_with_litter_rainforest|unilib:dirt_ordinary_with_turf_hot_humid_coastal|0.8|COASTAL|BEACH_MAX
dirt|glemr11_hot_humid_coastal|unilib:dirt_brown_with_litter_rainforest|unilib:dirt_ordinary_with_turf_hot_humid_coastal|0.8|COASTAL|BEACH_MAX
dirt|glemr11_hot_humid_coastal|unilib:dirt_clayey_with_litter_rainforest|unilib:dirt_ordinary_with_turf_hot_humid_coastal|0.8|COASTAL|BEACH_MAX
dirt|glemr11_hot_humid_coastal|unilib:dirt_sandy_with_litter_rainforest|unilib:dirt_ordinary_with_turf_hot_humid_coastal|0.8|COASTAL|BEACH_MAX
dirt|glemr11_hot_humid_coastal|unilib:dirt_silt_fine_with_litter_rainforest|unilib:dirt_ordinary_with_turf_hot_humid_coastal|0.8|COASTAL|BEACH_MAX
dirt|glemr11_hot_humid_lowland|unilib:dirt_clayey_with_turf_hot_humid_lowland|unilib:dirt_ordinary_with_turf_hot_humid_lowland|0.8|LOWLAND|COASTAL
dirt|glemr11_hot_humid_lowland|unilib:dirt_sandy_with_turf_hot_humid_lowland|unilib:dirt_ordinary_with_turf_hot_humid_lowland|0.8|LOWLAND|COASTAL
dirt|glemr11_hot_humid_lowland|unilib:dirt_silt_fine_with_turf_hot_humid_lowland|unilib:dirt_ordinary_with_turf_hot_humid_lowland|0.8|LOWLAND|COASTAL
fungi|glemr11_hot_humid_lowland|unilib:dirt_black_with_litter_fungi|unilib:dirt_ordinary_with_turf_hot_humid_lowland|0.6|LOWLAND|COASTAL
dirt|glemr11_hot_humid_lowland|unilib:dirt_black_with_litter_rainforest|unilib:dirt_ordinary_with_turf_hot_humid_lowland|0.8|LOWLAND|COASTAL
dirt|glemr11_hot_humid_lowland|unilib:dirt_brown_with_litter_rainforest|unilib:dirt_ordinary_with_turf_hot_humid_lowland|0.8|LOWLAND|COASTAL
dirt|glemr11_hot_humid_lowland|unilib:dirt_clayey_with_litter_rainforest|unilib:dirt_ordinary_with_turf_hot_humid_lowland|0.8|LOWLAND|COASTAL
dirt|glemr11_hot_humid_lowland|unilib:dirt_sandy_with_litter_rainforest|unilib:dirt_ordinary_with_turf_hot_humid_lowland|0.8|LOWLAND|COASTAL
dirt|glemr11_hot_humid_lowland|unilib:dirt_silt_fine_with_litter_rainforest|unilib:dirt_ordinary_with_turf_hot_humid_lowland|0.8|LOWLAND|COASTAL
dirt|glemr11_hot_humid_shelf|unilib:dirt_black_with_turf_hot_humid_shelf|unilib:dirt_ordinary_with_turf_hot_humid_shelf|0.8|SHELF|LOWLAND
dirt|glemr11_hot_humid_shelf|unilib:dirt_brown_with_turf_hot_humid_shelf|unilib:dirt_ordinary_with_turf_hot_humid_shelf|0.8|SHELF|LOWLAND
dirt|glemr11_hot_humid_shelf|unilib:dirt_clayey_with_turf_hot_humid_shelf|unilib:dirt_ordinary_with_turf_hot_humid_shelf|0.8|SHELF|LOWLAND
dirt|glemr11_hot_humid_shelf|unilib:dirt_sandy_with_turf_hot_humid_shelf|unilib:dirt_ordinary_with_turf_hot_humid_shelf|0.8|SHELF|LOWLAND
dirt|glemr11_hot_humid_shelf|unilib:dirt_silt_fine_with_turf_hot_humid_shelf|unilib:dirt_ordinary_with_turf_hot_humid_shelf|0.8|SHELF|LOWLAND
fungi|glemr11_hot_humid_shelf|unilib:dirt_black_with_litter_fungi|unilib:dirt_ordinary_with_turf_hot_humid_shelf|0.6|SHELF|LOWLAND
dirt|glemr11_hot_humid_shelf|unilib:dirt_black_with_litter_rainforest|unilib:dirt_ordinary_with_turf_hot_humid_shelf|0.8|SHELF|LOWLAND
dirt|glemr11_hot_humid_shelf|unilib:dirt_brown_with_litter_rainforest|unilib:dirt_ordinary_with_turf_hot_humid_shelf|0.8|SHELF|LOWLAND
dirt|glemr11_hot_humid_highland|unilib:dirt_clayey_with_turf_hot_humid_highland|unilib:dirt_ordinary_with_turf_hot_humid_highland|0.8|HIGHLAND|SHELF
dirt|glemr11_hot_humid_highland|unilib:dirt_sandy_with_turf_hot_humid_highland|unilib:dirt_ordinary_with_turf_hot_humid_highland|0.8|HIGHLAND|SHELF
dirt|glemr11_hot_humid_highland|unilib:dirt_silt_fine_with_turf_hot_humid_highland|unilib:dirt_ordinary_with_turf_hot_humid_highland|0.8|HIGHLAND|SHELF
