# "glemr6" remix - contains almost everything from revision 6 of lib_materials/lib_ecology,
#       (19th Apr 2019, dev branch). Some material of little value has been omitted. Code for
#       modifying terrain (e.g. producing lakes) has also been omitted
# The original mods were not suitable for use in survival mode, and the same applies to this remix.
#       Instead, this remix should be used as the basis for your own remixes. In particular, because
#       so many items do not actually spawn in the world, you can omit everything that is not
#       required for biomes and decorations. The section containing ore packages can also be
#       removed, as it is again not very useful in survival mode
# See the STANDARDS file for more information about what belongs in each category, and what does not

# node_name | original_mod

# glemr6 packages
# ---------------

base_glem|unilib

# other essential packages
# ------------------------

bucket_steel|bucket
liquid_lava_ordinary|default
liquid_water_ordinary|default
liquid_water_river|default
soil_arid|farming
soil_ordinary|farming
stone_ordinary|default moreblocks technic

# lib_materials packages
# ----------------------

# (used in custom dirts)
dirt_custom_glemr6|glemr6
clay_ordinary|default
clay_red|valleys_c
dirt_black|glemr4
dirt_brown|glemr4
dirt_clayey|valleys_c
dirt_coarse|farlands
dirt_dark|darkage
dirt_mud_swamp|30biomes
dirt_ordinary|default farming moreblocks
dirt_parched|farlands
dirt_sandy|valleys_c
dirt_silt_coarse|valleys_c
dirt_silt_fine|valleys_c
sand_silt|darkage

# (used in biomes)
biome_glemr6|glemr6
#clay_ordinary|default
dirt_ordinary_with_cover_fungi|farlands
dirt_ordinary_with_turf_grey|ethereal
dirt_permafrost_dark|glemr6
gravel_sandstone_desert|glemr4
ice_ordinary|default ethereal mtg_plus
#liquid_lava_ordinary|default
sand_desert|default farming
sand_ordinary|default
sand_silica|glemr6
sand_silver|default
sand_white|glemr4
sand_volcanic_dust|glemr4
snow_ordinary|default ethereal mtg_plus
stone_andesite_grey|glemr4
stone_basalt_brown|material mineral
stone_basalt_dark|darkage
stone_bluestone|material mineral
stone_brownstone_dark|glemr4
stone_claystone_red|pfaa
stone_desert|default moreblocks
stone_diorite_dark|pfaa
stone_gabbro_red|pfaa
stone_gneiss_brown|pfaa
stone_granite_dark|technic_worldgen
stone_granite_pink|farlands
stone_granite_white|farlands
stone_greenstone|material mineral
stone_limestone_white|farlands
stone_mudstone|pfaa
#stone_ordinary|default moreblocks technic
stone_sandstone_brown|glemr4
stone_sandstone_desert|default mtg_plus
stone_sandstone_ordinary|default moreblocks mtg_plus
stone_sandstone_silver|default mtg_plus
stone_sandstone_white|glemr4
stone_savanna|farlands
stone_schist_grey|darkage

# (used in ores; can be commented out, if ores are not required)
ore_glemr6|glemr6
dirt_mud_wet|glemr6
gravel_ordinary|default mtg_plus
#liquid_water_ordinary|default
sand_quicksand|ethereal
stone_chalk_white|darkage
stone_desert_with_iron|darkage
stone_gneiss_white|darkage
stone_marble_grey|darkage
stone_ordinary_with_coal|default
stone_ordinary_with_copper|default
stone_ordinary_with_diamond|default
stone_ordinary_with_gold|default
stone_ordinary_with_iron|default
stone_ordinary_with_lead|technic_worldgen
stone_ordinary_with_mese|default
stone_ordinary_with_quartz_white|underch
stone_ordinary_with_silver|moreores
stone_pegmatite_white|pfaa
stone_pegmatite_white_with_cassiterite|rocks
stone_sandstone_old_red|darkage
stone_serpentine|darkage
stone_shale_brown|darkage
stone_skarn|pfaa
stone_skarn_with_chalcopyrite|rocks
stone_skarn_with_galena|rocks
stone_skarn_with_magnetite|rocks
stone_skarn_with_malachite|rocks
stone_skarn_with_sphalerite|rocks
stone_slate_grey|darkage
stone_tuff|darkage
stone_tuff_rhyolitic|darkage

# (NOT used in ores any more)
#   sand_undersea|ethereal

# (other lib_materials items not used in biomes, decorations or ores; can be commented out, if not
#       required)
brick_ordinary|default
clay_baked_basic|bakedclay
#clay_ordinary|default
clay_ordinary_hardened|xdecor
clay_vermiculite|pfaa
decor_block_ice_packed|xdecor
decor_block_metal_rusty|columnia
decor_block_tar|moreblocks
decor_bricks_runestone|xdecor
decor_bricks_stone_circle|moreblocks
decor_bricks_stone_coal|moreblocks
decor_bricks_stone_grey|moreblocks
decor_rockwall_stone_desert|unilib
decor_rockwall_stone_desert_dark|glemr6
decor_rockwall_stone_ordinary|glemr4
decor_rockwall_stone_ordinary_dark|glemr6
decor_stone_castle_dungeon|castle_masonry
decor_paving_normal|castle_masonry
decor_stone_castle_rubble|castle_masonry
decor_paving_slate|glemr6
decor_stone_castle_wall|castle_masonry
decor_stone_coal|moreblocks
decor_stone_disintegrating|farlands
decor_stone_iron|moreblocks
decor_stone_plaster|darkage
decor_stone_tiles|farlands
decor_tiled_coal|xdecor
decor_tiled_coal_checker|moreblocks
decor_tiled_iron_checker|moreblocks
decor_tiled_stone|moreblocks
decor_tiled_stone_desert|xdecor
decor_tiled_stone_split|moreblocks
dirt_dried|ethereal
dirt_mud_dry|darkage
#dirt_ordinary|default farming moreblocks
dirt_ordinary_with_litter_leafy|farlands
dirt_ordinary_with_turf_bamboo|ethereal
dirt_ordinary_with_turf_cold|ethereal
dirt_ordinary_with_turf_crystal|ethereal
dirt_ordinary_with_turf_fiery|ethereal
dirt_ordinary_with_turf_forest|farlands
#dirt_ordinary_with_turf_grey|ethereal
dirt_ordinary_with_turf_grove|ethereal
dirt_ordinary_with_turf_mushroom|ethereal
dirt_ordinary_with_turf_prairie|ethereal
dirt_ordinary_with_turf_rainforest|ethereal
dirt_ordinary_with_turf_swamp|farlands
glass_clean_rhombus|darkage
glass_clean_round|darkage
glass_clean_square|darkage
#ice_ordinary|default ethereal mtg_plus
ice_thin|caverealms
light_lantern_glass_stained|nbea
liquid_grease_normal|steampunk
liquid_mud_normal|forest
liquid_oil_normal|forest
liquid_water_murky|glemr6
#liquid_water_ordinary|default
#liquid_water_river|default
liquid_water_river_muddy|australia
material_stucco|farlands
metal_brass|basic_materials technic
metal_bronze|default technic
metal_copper|default moreblocks technic
metal_gold|default technic
metal_iron|default
metal_iron_cast|technic_worldgen technic
metal_iron_wrought|technic_worldgen
metal_lead|technic_worldgen technic
metal_silver|moreores technic
metal_steel|default technic
metal_steel_carbon|technic_worldgen technic
metal_steel_stainless|technic_worldgen technic
metal_tin|default technic
mineral_coal|default technic
mineral_diamond|default mtg_plus
mineral_flint|default fire mtg_plus
mineral_mese|default
mineral_quartz_white|underch
misc_adobe|darkage
misc_frame_steel_simple|glemr6
misc_frame_steel_thin|glemr6
misc_frame_wood_ornate|nbea
misc_frame_wood_rose|glemr6
misc_frame_wood_rustic|darkage
misc_frame_wood_screen|glemr6
misc_frame_wood_thin|glemr6
sand_ordinary_with_rocks|valleys_c
#sand_silt|darkage
shared_tsm_pyramids|tsm_pyramids
#snow_ordinary|default ethereal mtg_plus
#stone_basalt_dark|darkage
stone_basalt_red|pfaa
#stone_bluestone|material mineral
#stone_chalk_white|darkage
stone_conglomerate_rough|pfaa
#stone_desert|default moreblocks
stone_desert_with_cracks|glemr4
stone_desert_with_dirt|glemr6
stone_desert_with_sand|glemr4
#stone_gneiss_white|darkage
stone_granite_black|decoblocks
stone_granite_brown|decoblocks
#stone_granite_pink|farlands
#stone_granite_white|farlands
stone_granite_pale|pfaa
#stone_greenstone|material mineral
stone_laterite|pfaa
stone_limestone_red|pfaa
stone_marble_brown|technic_worldgen
#stone_marble_grey|darkage
stone_marble_white|farlands
stone_obsidian|default moreblocks
#stone_ordinary|default moreblocks technic
stone_ordinary_with_cover_seagrass|farlands
stone_ordinary_with_dirt|glemr4
stone_ordinary_with_tin|default
#stone_rhyolite_pale|pfaa
#stone_sandstone_desert|default mtg_plus
stone_sandstone_desert_trap|tsm_pyramids
stone_sandstone_desert_with_engraving|tsm_pyramids
#stone_sandstone_old_red|darkage
#stone_sandstone_ordinary|default moreblocks mtg_plus
stone_sandstone_ordinary_with_mural|farlands
stone_sandstone_ornate|farlands
#stone_sandstone_silver|default mtg_plus
#stone_sandstone_white|glemr4
#stone_savanna|farlands
stone_savanna_with_coal|farlands
stone_savanna_with_iron|farlands
stone_serpentinite_pale|decoblocks
stone_skarn_with_magnesite|rocks
stone_slate_black|pfaa
#stone_slate_grey|darkage
stone_travertine|decoblocks
#stone_tuff|darkage
#stone_tuff_rhyolitic|darkage
stone_whitestone|material mineral

# (NOT used as other items any more)
#   dirt_ordinary_with_turf_mushroom|ethereal
#   glass_clean|moreblocks
#   glass_coal|moreblocks
#   glass_iron|moreblocks

# lib_ecology packages
# ----------------------

# (used in decorations)
deco_glemr6|glemr6

# (regular trees/bushes used as decorations)
fruit_apple|default
fruit_apple_golden|ethereal
fruit_banana|ethereal
fruit_coconut|ethereal
fruit_date|moretrees
fruit_orange|ethereal
ingredient_acorn|moretrees
ingredient_cone_cedar|moretrees
ingredient_cone_spruce|moretrees
ingredient_cone_spruce_mature|glemr4
tree_acacia|default doors moreblocks
tree_apple|default doors moreblocks
tree_apple_mature|moretrees
tree_ash|glemr4
tree_aspen|default doors moreblocks
tree_bamboo|ethereal
tree_bamboo_exotic|farlands
tree_banana|ethereal
tree_banana_exposed|glemr4
tree_baobab|farlands
tree_beech_mature|glemr4
tree_birch|ethereal
tree_birch_small|glemr4
tree_cedar|moretrees
tree_cherry_blossom|glemr4
tree_chestnut_exotic|glemr4
tree_cypress|glemr4
tree_deciduous_mature|glemr4
tree_deciduous_normal|glemr4
tree_dry|glemr4
tree_eucalyptus|glemr4
tree_fern|ferns
tree_fern_giant|ferns
tree_fern_yellow|glemr4
tree_fir|30biomes
tree_fir_douglas_coast|glemr4
tree_frost|ethereal
tree_healing|ethereal
tree_jungle|default doors moreblocks
tree_jungle_ancient|glemr4
tree_jungle_exotic|farlands
tree_jungle_mature|glemr4
tree_ipe_yellow|farlands
tree_mangrove_green|glemr4
tree_maple_sugar|glemr4
tree_oak|moretrees
tree_orange|ethereal
tree_palm|ethereal
tree_palm_date|moretrees
tree_palm_exotic|farlands
#   tree_palm_exposed|moretrees
tree_palm_jungle|glemr4
tree_palm_plain|glemr4
tree_pine|default doors moreblocks
tree_pine_ancient|glemr4
tree_pine_exposed|glemr4
tree_poplar|moretrees
tree_redwood|ethereal
tree_rubber|moretrees technic_worldgen
tree_scorched|ethereal
tree_sequoia|moretrees
tree_spruce|moretrees
tree_spruce_mature|glemr4
tree_willow_ancient|glemr4
tree_willow_exotic|farlands
tree_willow_large|moretrees
tree_willow_weeping|ethereal

# (plants and other items used as decorations)
coral_block_brown|default
coral_block_orange|default
coral_block_skeleton|default
coral_brain|australia
coral_rooted_blue|farlands
coral_rooted_blue_glow|ethereal
coral_rooted_cyan|default
coral_rooted_green|default
coral_rooted_green_glow|ethereal
coral_rooted_orange|farlands
coral_rooted_orange_glow|ethereal
coral_rooted_pink|default
