# "hades" remix - contains all the packages required by the "mapgen_hades" package
# That package is a simplistic implementation of PFAA Geologica's geology system, partly based on
#   the underground challenge (underch) mod, but with a completely new set of stones and ores, which
#   are placed in a semi-realistic way, making no effort to reproduce strata, pipes or other
#   real-world geological formations (as PFAA tried to do). As in underch, each underground biome
#   (pseudo-biome) has a characteristic basic stone, each with a characteristic set of ores
# The "mapgen_hades" package includes a number of optional settings. Most of them are disabled by
#   default. If you edit the package code to enable them, you should also uncomment all of the
#   packages in the corresponding sections below
# Note that, if you do this, you'll see some duplicate package warnings. The folder that contains
#   this file, also contains the file "packages_ALL_DEPENDENCIES.csv", which assumes that all the
#   optional settings have been enabled. In that file, only duplicate packages are commented out
# If you have enabled all of the optional settings, you should rename this file (to anything), and
#   then rename that file to "packages.csv"

# node_name | original_mod

# default packages
stone_ordinary|default moreblocks technic

# underch/uchu basic packages
mapgen_hades|unilib
misc_matrix_hades|unilib

# "basic" stone packages (one for each pseudo-biome)
stone_andesite_pale|pfaa
stone_andesite_white|ugbc
stone_basalt_dark|darkage
stone_basalt_pale|ugbc
stone_basalt_red|pfaa
stone_breccia|pfaa
stone_brownstone_pale|decoblocks
stone_carbonatite|pfaa
stone_chalk_pink|ugbc
stone_chalk_yellow|pfaa
stone_chert|ugbc
stone_claystone_red|pfaa
stone_conglomerate_rough|pfaa
stone_dacite|ugbc
stone_diorite_dark|pfaa
stone_dolostone_dark|ugbc
stone_eclogite|ugbc
stone_gabbro_grey|ugbc
stone_gabbro_red|pfaa
stone_gneiss_brown|pfaa
stone_gneiss_grey|ugbc
stone_gneiss_white|darkage
stone_granite_ebony|ugbc
stone_granite_orange|ugbc
stone_granite_pale|pfaa
stone_greywacke_pale|ugbc
stone_hornfels|pfaa
stone_komatiite|ugbc
stone_laterite|pfaa
stone_lignite|ugbc
stone_limestone_beige|ugbc
stone_limestone_red|pfaa
stone_marble_cream|ugbc
stone_marble_silver|pfaa
stone_migmatite|ugbc
stone_mudstone|pfaa
stone_pegmatite_white|pfaa
stone_peridotite_pale|pfaa
stone_quartzite_red|ugbc
stone_quartzite_white|pfaa
stone_rhyolite_pale|pfaa
stone_rhyolite_dark|ugbc
stone_sandstone_beige|decoblocks
stone_sandstone_old_red|darkage
stone_sandstone_pink|pfaa
stone_sandstone_red|pfaa
stone_savanna|farlands
stone_schist_blue|ugbc
stone_schist_brown|pfaa
stone_schist_green_dark|pfaa
stone_schist_green_pale|ugbc
stone_serpentinite_dark|pfaa
stone_serpentinite_pale|decoblocks
stone_shale_white|ugbc
