# "hook" remix - contains everything from the hook mod

# node_name | original_mod

# hook packages
container_chest_portable|hook
device_breather|hook
hook_grappling|hook
hook_grappling_throw|hook
hook_grappling_throw_locked|hook
shared_hook|hook
tool_slingshot_normal|hook

# supporting packages (.depends)
container_chest_ordinary|default
item_stick_ordinary|default
metal_iron|default
metal_steel|default glemr11 technic
mineral_diamond|default mtg_plus
shared_default_chest|default pipeworks

# supporting packages (.at_least_one)

# supporting packages (.optional)
#machine_furnace_induction|unilib
#machine_polishing|unilib
#metal_bronze|default glemr11 technic
#metal_copper|default glemr11 moreblocks technic
#metal_gold|default glemr11 technic
#plant_shrub_dry|default

# supporting packages (.suggested)
