# "moreblocks" remix - contains almost everything from moreblocks
# Code handling moreblocks stairs has been incorporated directly into unilib's core code
# Due to the ubiquity of moreblocks, craft recipes involving only minetest_game items have been
#       added to minetest_game packages, rather than being added to a separate moreblocks package,
#       as they ordinarily would be
# moreblocks nodes marked as "deprecated" have not been imported

# node_name | original_mod

# moreblocks packages
decor_block_tar|moreblocks
decor_bricks_cactus|moreblocks
decor_bricks_stone_circle|moreblocks
decor_bricks_stone_coal|moreblocks
decor_bricks_stone_grey|moreblocks
decor_bricks_stone_iron|moreblocks
decor_stone_coal|moreblocks
decor_stone_iron|moreblocks
decor_tiled_cactus_checker|moreblocks
decor_tiled_coal_checker|moreblocks
decor_tiled_iron_checker|moreblocks
decor_tiled_plankstone|moreblocks
decor_tiled_stone|moreblocks
decor_tiled_stone_checker|moreblocks
decor_tiled_stone_split|moreblocks
decor_tiled_wood|moreblocks
furniture_shelf_utility|moreblocks xdecor
glass_clean|moreblocks
glass_coal|moreblocks
glass_glow|moreblocks
glass_glow_super|moreblocks
glass_iron|moreblocks
item_sweeper|moreblocks
machine_saw_circular|moreblocks
rope_normal|moreblocks

# supporting packages (.depends)
brick_ordinary|default
clay_ordinary|default
glass_ordinary|default moreblocks vessels
grass_jungle|default
item_stick_ordinary|default
metal_iron|default
metal_steel|default glemr11 technic
mineral_coal|default technic
mineral_mese|default glemr11
plant_cactus_ordinary|default
stone_ordinary|default moreblocks technic
torch_ordinary|default
tree_pine|default doors moreblocks

# supporting packages (.at_least_one)
metal_bronze|default glemr11 technic
metal_gold|default glemr11 technic
mineral_diamond|default mtg_plus

# supporting packages (.optional)
#crop_cotton|farming
#crop_rice_white|farming
#gravel_ordinary|default mtg_plus
#machine_furnace_induction|unilib
#moss_green|sickles
#mushroom_red|flowers
#plant_shrub_dry|default

# supporting packages (.suggested)
item_book_ordinary|default
vessel_bottle_glass_empty|thirsty vessels
