# "morelights" remix - contains everything from the morelights modpack

# node_name | original_mod

# morelights/morelights packages
hardware_chain_metal_dark|morelights
hardware_chain_metal_light|morelights
hardware_pole_metal_dark|morelights
hardware_pole_metal_light|morelights
light_bulb_normal|morelights
shared_morelights|morelights

# morelights/morelights_extras packages
dirt_super_with_spotlight|morelights_extras
light_block_futuristic|morelights_extras
light_lamp_staircase|morelights_extras
stone_super_with_spotlight|morelights_extras

# morelights/morelights_modern packages
hardware_lamppost_metal_dark|morelights_modern
hardware_lamppost_metal_light|morelights_modern
light_block_modern|morelights_modern
light_lamp_can_dark|morelights_modern
light_lamp_can_light|morelights_modern
light_lamp_ceiling_modern|morelights_modern
light_lamp_path_dark|morelights_modern
light_lamp_path_light|morelights_modern
light_lamp_street_dark|morelights_modern
light_lamp_street_light|morelights_modern
light_lamp_table_dark|morelights_modern
light_lamp_table_light|morelights_modern
light_lamp_wall|morelights_modern
light_post_modern_dark|morelights_modern
light_post_modern_light|morelights_modern

# morelights/morelights_vintage packages
hardware_chain_brass_vintage|morelights_vintage
light_chandelier_vintage|morelights_vintage
light_lamp_vintage|morelights_vintage
light_lamp_vintage_bulb|morelights_vintage
light_lamp_vintage_oil|morelights_vintage
light_lantern_vintage|morelights_vintage
light_lantern_vintage_small|morelights_vintage

# supporting packages (.depends)
crop_cotton|farming
dye_basic|dye bakedclay
glass_ordinary|default moreblocks vessels
item_stick_ordinary|default
item_string_ordinary|farming
metal_brass|basic_materials technic
metal_copper|default glemr11 moreblocks technic
metal_iron|default
metal_silver|glemr11 moreores technic
metal_steel|default glemr11 technic
mineral_mese|default glemr11
pane_glass_ordinary|xpanes
shared_wool|wool
tree_jungle|default doors moreblocks
wool_basic|wool

# supporting packages (.at_least_one)

# supporting packages (.optional)
#bush_blueberry_ordinary|default
#container_chest_ordinary|default
#machine_furnace_induction|unilib
#metal_gold|default glemr11 technic
#metal_tin|default glemr11 technic
#mushroom_brown|flowers
#plant_cactus_ordinary|default
#plant_shrub_dry|default
#shared_screwdriver|screwdriver

# supporting packages (.suggested)
