# "moreores" remix - contains almost everything from moreores except the tin items already provided
#       by minetest_game
# Includes the deprecated mithril/silver hoes
# Does not include support for frames/toolranks (yet)

# node_name | original_mod

# moreblocks packages
metal_mithril|glemr11 moreores technic
metal_silver|glemr11 moreores technic
ore_moreores_stone_ordinary_with_mithril|moreores
ore_moreores_stone_ordinary_with_silver|moreores
rail_copper|moreores
stone_ordinary_with_mithril|moreores
stone_ordinary_with_silver|moreores
tool_axe_mithril|moreores
tool_axe_silver|moreores
tool_hoe_mithril|moreores
tool_hoe_silver|moreores
tool_pick_mithril|moreores
tool_pick_silver|moreores
tool_shovel_mithril|moreores
tool_shovel_silver|moreores
tool_sword_mithril|moreores
tool_sword_silver|moreores

# supporting packages (.depends)
metal_copper|default glemr11 moreblocks technic
shared_carts|carts
stone_ordinary|default moreblocks technic

# supporting packages (.at_least_one)

# supporting packages (.optional)
#container_chest_ordinary|default
#grass_jungle|default
#machine_furnace_induction|unilib
#mineral_mese|default glemr11
#moss_green|sickles

# supporting packages (.suggested)
