# "moreplants" remix - contains everything except the (unfinished) palm tree
# See the STANDARDS file for more information about what belongs in each category, and what does not

# node_name | original_mod

# moreplants packages
deco_moreplants_fern_big|moreplants
deco_moreplants_fern_christmas|moreplants
deco_moreplants_fern_ostrich|moreplants
deco_moreplants_fern_spike|moreplants
deco_moreplants_flower_canna|moreplants
deco_moreplants_flower_clematis_rebecca|moreplants
deco_moreplants_flower_curly|moreplants
deco_moreplants_flower_jungle|moreplants
deco_moreplants_flower_lily_fire|moreplants
deco_moreplants_flower_lungwort|moreplants
deco_moreplants_flower_moonflower|moreplants
deco_moreplants_flower_spike_blue|moreplants
deco_moreplants_grass_long|moreplants
deco_moreplants_mushroom_pink|moreplants
deco_moreplants_plant_bulrush_mature|moreplants
deco_moreplants_plant_cactus_tiny|moreplants
deco_moreplants_plant_clover|moreplants
deco_moreplants_plant_enigma|moreplants
deco_moreplants_plant_fungus_ground|moreplants
deco_moreplants_plant_shrub_taiga|moreplants
deco_moreplants_plant_weed_dead|moreplants
deco_moreplants_plant_weed_eye|moreplants
deco_moreplants_plant_weed_normal|moreplants
deco_moreplants_plant_weed_stone|moreplants
deco_moreplants_plant_weed_umbrella|moreplants
fern_big|moreplants
fern_christmas|moreplants
fern_ostrich|moreplants
fern_spike|moreplants
flower_canna|moreplants
flower_cave_pink|moreplants
flower_clematis_rebecca|moreplants
flower_curly|moreplants
flower_jungle|moreplants
flower_lily_fire|moreplants
flower_lungwort|moreplants
flower_moonflower|moreplants
flower_spike_blue|moreplants
fruit_curly|moreplants
grass_long|moreplants
meta_moreplants_underground|moreplants
mushroom_cave_blue|moreplants
mushroom_fire|moreplants
mushroom_pink|moreplants
plant_bulrush_mature|moreplants
plant_cactus_tiny|moreplants
plant_clover|moreplants
plant_enigma|moreplants
plant_fungus_glowing_yellow|moreplants
plant_fungus_ground|moreplants
plant_shrub_taiga|moreplants
plant_weed_dead|moreplants
plant_weed_eye|moreplants
plant_weed_normal|moreplants
plant_weed_stone|moreplants
plant_weed_umbrella|moreplants

# supporting packages (.depends)
biome_default_desert|default
biome_default_forest_deciduous|default
biome_default_grassland|default
biome_default_tundra|default
dirt_ordinary|default farming moreblocks
dirt_permafrost|default
gravel_ordinary|default mtg_plus
liquid_lava_ordinary|default
liquid_water_ordinary|default
mineral_flint|default fire mtg_plus
sand_desert|default farming
sand_ordinary|default
snow_ordinary|default ethereal mtg_plus
soil_sand_desert|farming
stone_desert|default moreblocks
stone_ordinary|default moreblocks technic

# supporting packages (.at_least_one)
biome_default_forest_coniferous|default
biome_default_rainforest|default
biome_default_taiga|default

# supporting packages (.optional)
#dye_basic|dye bakedclay
#fire_ordinary|fire
#fire_permanent|fire underch
#grass_dry|default
#grass_jungle|default
#grass_ordinary|default
#gravel_stone_desert|glemr11
#item_paper_ordinary|default moreblocks
#metal_steel|default technic
#mineral_coal|default technic
#mineral_mese|default
#moss_green|sickles
#plant_cactus_ordinary|default
#soil_ordinary|farming
#stone_obsidian|default moreblocks
