# "mtg_plus" remix - contains everything from the Minetest Game Plus mod

# node_name | original_mod

# mtg_plus packages
brick_dirt|mtg_plus
decor_bricks_metal_bronze|mtg_plus
decor_bricks_metal_copper|mtg_plus
decor_bricks_metal_gold|mtg_plus
decor_bricks_metal_steel|mtg_plus
decor_bricks_metal_tin|mtg_plus
decor_bricks_stone_desert_with_gold|mtg_plus
decor_bricks_stone_obsidian_with_gold|mtg_plus
decor_bricks_stone_ordinary_with_gold|mtg_plus
decor_bricks_stone_sandstone_with_gold|mtg_plus
decor_bricks_stone_sandstone_desert_with_gold|mtg_plus
decor_bricks_stone_sandstone_silver_with_gold|mtg_plus
dirt_gravel|mtg_plus
door_ice|mtg_plus
door_papyrus_bar|mtg_plus
door_steel_icy|mtg_plus
door_wood_bar|mtg_plus
glass_dirty|mtg_plus
glass_gold|mtg_plus
gravel_ordinary|default mtg_plus
ice_ordinary|default ethereal mtg_plus
ladder_bronze|mtg_plus
ladder_copper|mtg_plus
ladder_gold|mtg_plus
ladder_papyrus|mtg_plus
ladder_tin|mtg_plus
ladder_wood_basic|mtg_plus
ladder_wood_gold|mtg_plus
mineral_diamond|default mtg_plus
mineral_flint|default fire mtg_plus
pane_barrier_paper|mtg_plus
pane_bars_wooden|mtg_plus
pane_glass_gold|mtg_plus
pane_lattice_papyrus_ornate|mtg_plus
pane_window_ice|mtg_plus
plant_papyrus_ordinary|default mtg_plus
snow_ordinary|default ethereal mtg_plus
stone_jungle|mtg_plus
stone_sandstone_desert|default mtg_plus
stone_sandstone_ordinary|default moreblocks mtg_plus
stone_sandstone_silver|default mtg_plus
trapdoor_ice|mtg_plus
trapdoor_steel_icy|mtg_plus
tree_gold|mtg_plus
window_ice|mtg_plus

# supporting packages (.depends)
crop_cotton|farming
dirt_ordinary|default farming moreblocks
door_steel|doors
glass_ordinary|default moreblocks vessels
item_paper_ordinary|default moreblocks
item_stick_ordinary|default
item_string_ordinary|farming
liquid_water_ordinary|default
metal_bronze|default glemr11 technic
metal_copper|default glemr11 moreblocks technic
metal_gold|default glemr11 technic
metal_iron|default
metal_steel|default glemr11 technic
metal_tin|default glemr11 technic
stone_desert|default moreblocks
stone_obsidian|default moreblocks
stone_ordinary|default moreblocks technic
trapdoor_steel|doors
tree_jungle|default doors moreblocks

# supporting packages (.at_least_one)
dirt_dry|default

# supporting packages (.optional)
#dye_basic|dye bakedclay
#fire_ordinary|fire
#fire_permanent|fire underch
#glass_clean|moreblocks
#grass_dry|default
#grass_jungle|default
#grass_ordinary|default
#gravel_sandstone_desert|glemr4
#gravel_sandstone_ordinary|unilib
#gravel_stone_desert|glemr11
#item_sweeper|moreblocks
#machine_furnace_induction|unilib
#machine_polishing|unilib
#mineral_coal|default technic
#mineral_mese|default glemr11
#moss_green|sickles
#mushroom_brown|flowers
#plant_shrub_dry|default
#sand_desert|default farming
#sand_ordinary|default
#soil_ordinary|farming

# supporting packages (.suggested)
