# "mtgame_decos" remix - all decoration packages from the "mtgame" remix
# See the STANDARDS file for more information about what belongs in each category, and what does not

# node_name | original_mod

# Decorations
# N.B. deco_mtgame_dirt_dry must come before all other savanna decorations
deco_default_dirt_dry|default
# For everything else, the order is not important
deco_butterflies_misc_butterfly|butterflies
deco_default_bush_ordinary|default
deco_default_bush_blueberry_ordinary|default
deco_default_bush_acacia|default
deco_default_bush_pine|default
deco_default_coral_mixed|default
deco_default_dirt_permafrost_with_moss|default
deco_default_fern_ordinary|default
deco_default_grass_dry|default
deco_default_grass_jungle|default
deco_default_grass_marram|default
deco_default_grass_ordinary|default
deco_default_plant_cactus_ordinary|default
deco_default_plant_kelp_ordinary|default
deco_default_plant_papyrus_ordinary|default
deco_default_plant_shrub_dry|default
deco_default_snow_ordinary|default
deco_default_tree_acacia|default
deco_default_tree_acacia_log|default
deco_default_tree_apple|default
deco_default_tree_apple_log|default
deco_default_tree_aspen|default
deco_default_tree_aspen_log|default
deco_default_tree_jungle|default
deco_default_tree_jungle_log|default
deco_default_tree_pine|default
deco_default_tree_pine_log|default
deco_farming_plant_cotton_wild|farming
deco_fireflies_misc_firefly|fireflies
deco_flowers_flower_chrysanthemum_green|flowers
deco_flowers_flower_dandelion_white|flowers
deco_flowers_flower_dandelion_yellow|flowers
deco_flowers_flower_geranium_blue|flowers
deco_flowers_flower_rose_red|flowers
deco_flowers_flower_tulip_black|flowers
deco_flowers_flower_tulip_orange|flowers
deco_flowers_flower_viola_purple|flowers
deco_flowers_flower_waterlily_ordinary|flowers
deco_flowers_mushroom_brown|flowers
deco_flowers_mushroom_red|flowers

# N.B. all supporting packages are commented out, as this remix is intended to be used with other
#   remixes

# supporting packages (.depends)
#biome_default_forest_coniferous|default
#biome_default_savanna|default
#biome_default_tundra|default
#bush_acacia|default
#bush_blueberry_ordinary|default
#bush_ordinary|default
#bush_pine|default
#crop_cotton|farming
#dirt_dry|default
#dirt_ordinary|default farming moreblocks
#dirt_permafrost|default
#fern_ordinary|default
#flower_chrysanthemum_green|flowers
#flower_dandelion_white|flowers
#flower_dandelion_yellow|flowers
#flower_geranium_blue|flowers
#flower_rose_red|flowers
#flower_tulip_black|flowers
#flower_tulip_orange|flowers
#flower_viola_purple|flowers
#flower_waterlily_ordinary|flowers
#fruit_apple|default
#fruit_blueberry_ordinary|default
#grass_dry|default
#grass_jungle|default
#grass_marram|default
#grass_ordinary|default
#gravel_ordinary|default mtg_plus
#liquid_lava_ordinary|default
#liquid_water_ordinary|default
#mineral_flint|default fire mtg_plus
#misc_butterfly|butterflies
#misc_firefly|fireflies
#mushroom_brown|flowers
#mushroom_red|flowers
#plant_cactus_ordinary|default
#plant_cotton_wild|farming
#plant_kelp_ordinary|default
#plant_papyrus_ordinary|default mtg_plus
#plant_shrub_dry|default
#sand_desert|default farming
#sand_ordinary|default
#snow_ordinary|default ethereal mtg_plus
#soil_sand_desert|farming
#stone_ordinary|default moreblocks technic
#tree_acacia|default doors moreblocks
#tree_apple|default doors moreblocks
#tree_aspen|default doors moreblocks
#tree_jungle|default doors moreblocks
#tree_pine|default doors moreblocks

# supporting packages (.at_least_one)
#biome_default_desert|default
#biome_default_desert_cold|default
#biome_default_desert_sandstone|default
#biome_default_forest_deciduous|default
#biome_default_grassland|default
#biome_default_grassland_snowy|default
#biome_default_rainforest|default
#biome_default_taiga|default
#coral_block_brown|default
#coral_block_orange|default
#coral_block_skeleton|default
#coral_rooted_cyan|default
#coral_rooted_green|default
#coral_rooted_pink|default
#sand_silver|default

# supporting packages (.optional)
#crop_barley|farming
#crop_oat|farming
#crop_rice_white|farming
#crop_rye|farming
#crop_wheat|farming
#dye_basic|dye bakedclay
#fire_ordinary|fire
#fire_permanent|fire underch
#item_book_ordinary|default
#item_stick_ordinary|default
#item_sweeper|moreblocks
#metal_steel|default technic
#mineral_coal|default technic
#mineral_mese|default
#moss_green|sickles
#soil_arid|farming
#soil_ordinary|farming
#stone_obsidian|default moreblocks
#vessel_bottle_glass_empty|thirsty vessels
