# "mtgame_ores" remix - all ore packages from the "mtgame" remix
# N.B. Some of these packages specify biome packages as dependencies; so this remix should probably
#       be used together with the "mtgame_biomes" remix

# node_name | original_mod

# Ore distributions
ore_default_clay_ordinary|default
ore_default_dirt_ordinary|default
ore_default_gravel_ordinary|default
ore_default_mineral_mese_block|default
ore_default_sand_silver|default
ore_default_stone_ordinary_with_coal|default
ore_default_stone_ordinary_with_copper|default
ore_default_stone_ordinary_with_diamond|default
ore_default_stone_ordinary_with_gold|default
ore_default_stone_ordinary_with_iron|default
ore_default_stone_ordinary_with_mese|default
ore_default_stone_ordinary_with_tin|default
ore_default_stone_sandstone_desert|default
ore_default_stone_sandstone_ordinary|default
ore_default_stone_sandstone_silver|default

# N.B. all supporting packages are commented out, as this remix is intended to be used with other
#   remixes

# supporting packages (.depends)
#biome_default_desert|default
#biome_default_desert_cold|default
#clay_ordinary|default
#dirt_ordinary|default farming moreblocks
#gravel_ordinary|default mtg_plus
#liquid_lava_ordinary|default
#liquid_water_ordinary|default
#metal_copper|default glemr11 moreblocks technic
#metal_gold|default glemr11 technic
#metal_iron|default
#metal_tin|default glemr11 technic
#mineral_coal|default technic
#mineral_diamond|default mtg_plus
#mineral_mese|default glemr11
#sand_desert|default farming
#sand_ordinary|default
#sand_silver|default
#soil_sand_desert|farming
#stone_desert|default moreblocks
#stone_ordinary|default moreblocks technic
#stone_ordinary_with_coal|default
#stone_ordinary_with_copper|default
#stone_ordinary_with_diamond|default
#stone_ordinary_with_gold|default
#stone_ordinary_with_iron|default
#stone_ordinary_with_mese|default
#stone_ordinary_with_tin|default
#stone_sandstone_desert|default mtg_plus
#stone_sandstone_ordinary|default moreblocks mtg_plus
#stone_sandstone_silver|default mtg_plus

# supporting packages (.at_least_one)
#biome_default_forest_coniferous|default
#biome_default_forest_deciduous|default
#biome_default_grassland|default
#biome_default_rainforest|default
#biome_default_taiga|default

# supporting packages (.optional)
#grass_dry|default
#grass_jungle|default
#grass_ordinary|default
#gravel_sandstone_desert|glemr4
#gravel_sandstone_ordinary|unilib
#gravel_stone_desert|glemr11
#machine_furnace_induction|unilib
#machine_polishing|unilib
#mineral_flint|default fire mtg_plus
#moss_green|sickles
#soil_ordinary|farming
#stone_obsidian|default moreblocks

# supporting packages (.suggested)
