# CSV read by the "shared_offend_flags" package

#unique flag name|flag image|description

# National flags
australia||Australia
austria||Austria
belgium||Belgium
bulgaria||Bulgaria
canada||Canada
croatia||Croatia
cyprus||Cyprus
czech||Czech Republic
denmark||Denmark
england||England
estonia||Estonia
falklands||Falklands
finland||Finland
france||France
georgia||Georgia
germany||Germany
gibraltar||Gibraltar
greece||Greece
guernsey||Guernsey
hungary||Hungary
iceland||Iceland
ireland||Ireland
italy||Italy
jersey||Jersey
latvia||Latvia
lithuania||Lithuania
luxembourg||Luxembourg
malta||Malta
manx||Isle of Man
moldova||Moldova
netherlands||The Netherlands
ni||Northern Ireland
norway||Norway
nz||New Zealand
poland||Poland
portugal||Portugal
romania||Romania
scotland||Scotland
spain||Spain
sweden||Sweden
switzerland||Switzerland
uk||United Kingdom
ukraine||Ukraine
usa||United States
wales||Wales

# Item flags
item_apple||Apple
item_axe||Axe
item_bucket||Bucket
item_flower||Flower
item_hoe||Hoe
item_ingot||Ingot
item_pickaxe||Pickaxe
item_sapling||Sapling
item_shovel||Shovel
item_sword||Sword
item_torch||Torch
item_wheat||Wheat

# Other flags
ensign||Naval Ensign
minetest||Minetest
raf||Royal Air Force
royal||Royal Standard
swim_bathing||Surfing Area
swim_danger||Danger No Bathing
swim_surfing||Safe Bathing
tricolor||Tricolor
un||United Nations
