# "offend_flags" remix - contains the flag printer and flag-generation code from the "offend_flags"
#       mod, and a (new) set of national flags

# node_name | original_mod

# offend_flags packages
item_cartridge_ink|offend_flags
machine_printer_flag|offend_flags
shared_cartridges|offend_flags
shared_offend_flags|offend_flags

# supporting packages (.depends)
dye_basic|dye bakedclay
item_paper_ordinary|default moreblocks
material_oil_extract|basic_materials
material_paraffin|basic_materials
material_plastic|basic_materials
metal_bronze|default glemr11 technic
metal_copper|default glemr11 moreblocks technic
metal_iron|default
metal_steel|default glemr11 technic
metal_tin|default glemr11 technic
plant_papyrus_ordinary|default mtg_plus

# supporting packages (.at_least_one)
dirt_dry|default
dirt_ordinary|default farming moreblocks

# supporting packages (.optional)
#bush_blueberry_ordinary|default
#machine_furnace_induction|unilib
#plant_cactus_ordinary|default
#plant_shrub_dry|default
#shared_screwdriver|screwdriver

# supporting packages (.suggested)
