# "orienteering" remix - contains everything from the orienteering mod

# node_name | original_mod

# orienteering packages
item_altimeter_digital|orienteering
item_compass_digital|orienteering
item_gps_digital|orienteering
item_quadcorder_digital|orienteering
item_satnav_analogue|orienteering
item_satnav_digital|orienteering
item_sextant_digital|orienteering
item_speedometer_digital|orienteering
item_triangulator_digital|orienteering
item_watch_digital|orienteering
shared_orienteering|orienteering

# supporting packages (.depends)
dye_basic|dye bakedclay
glass_ordinary|default moreblocks vessels
item_paper_ordinary|default moreblocks
metal_bronze|default glemr11 technic
metal_copper|default glemr11 moreblocks technic
metal_gold|default glemr11 technic
metal_iron|default
metal_steel|default glemr11 technic
metal_tin|default glemr11 technic
mineral_diamond|default mtg_plus
mineral_mese|default glemr11
plant_papyrus_ordinary|default mtg_plus
stone_obsidian|default moreblocks

# supporting packages (.at_least_one)
dirt_dry|default
dirt_ordinary|default farming moreblocks

# supporting packages (.optional)
#bush_blueberry_ordinary|default
#machine_furnace_induction|unilib
#machine_polishing|unilib
#plant_cactus_ordinary|default
#plant_shrub_dry|default
#shared_map|map

# supporting packages (.suggested)
