# "ropes" remix - contains almost everything from the ropes mod

# node_name | original_mod

# ropes packages
ladder_rope|ropes
ladder_steel_extendable|ropes
ladder_wood_extendable|ropes
misc_platform_wood|ropes
rope_mining|ropes
rope_mining_spool_copper|ropes
rope_mining_spool_steel|ropes
rope_mining_spool_wood|ropes
shared_ropes|ropes

# supporting packages (.depends)
metal_copper|default glemr11 moreblocks technic
metal_iron|default
metal_steel|default glemr11 technic

# supporting packages (.at_least_one)

# supporting packages (.optional)
#machine_furnace_induction|unilib
#rope_sturdy|cottages

# supporting packages (.suggested)
#crop_cotton|farming
