# "thirsty" remix - contains everything from the thirsty mod

# node_name | original_mod

# thirsty packages
device_extractor_water|thirsty
device_injector_water|thirsty
item_canteen_bronze|thirsty
item_canteen_steel|thirsty
machine_hydration|thirsty
misc_fountain_drinking|thirsty
utensil_bowl_wooden|farming thirsty
vessel_bottle_glass_empty|thirsty vessels
vessel_bottle_steel_empty|thirsty vessels
vessel_glass_empty|thirsty vessels

# supporting packages (.depends)
glass_ordinary|default moreblocks vessels
metal_bronze|default glemr11 technic
metal_copper|default glemr11 moreblocks technic
metal_iron|default
metal_steel|default glemr11 technic
metal_tin|default glemr11 technic
mineral_diamond|default mtg_plus
mineral_mese|default glemr11
stone_ordinary|default moreblocks technic

# supporting packages (.at_least_one)

# supporting packages (.optional)
#grass_jungle|default
#machine_furnace_induction|unilib
#machine_polishing|unilib
#metal_gold|default glemr11 technic
#moss_green|sickles

# supporting packages (.suggested)
