# "towercrane" remix - contains the original crane, now made with steel and mese and two new
#       variants made with mese and diamond. The variants have different maximum sizes
# See the STANDARDS file for more information about what belongs in each category, and what does not

# node_name | original_mod

# towercrane packages
crane_diamond|towercrane
crane_mese|towercrane
crane_steel|towercrane
shared_towercrane|towercrane

# supporting packages (.depends)
metal_iron|default
metal_steel|default technic
mineral_diamond|default mtg_plus
mineral_mese|default

# supporting packages (.optional)
#metal_gold|default technic
