# "ugbc" remix - contains all clay, gravel, sand and stone textures (for which original code has
#       been created). Does not include the moss, fossils or items supporting third-party minecraft
#       mods
# See the STANDARDS file for more information about what belongs in each category, and what does not

# node_name | original_mod

# ugbc packages
clay_andesite_white|ugbc
clay_basalt_pale|ugbc
clay_chalk_pink|ugbc
clay_chert|ugbc
clay_dacite|ugbc
clay_dolostone_dark|ugbc
clay_eclogite|ugbc
clay_gabbro_grey|ugbc
clay_gneiss_grey|ugbc
clay_granite_ebony|ugbc
clay_granite_orange|ugbc
clay_greywacke_pale|ugbc
clay_komatiite|ugbc
clay_lignite|ugbc
clay_limestone_beige|ugbc
clay_marble_cream|ugbc
clay_migmatite|ugbc
clay_quartzite_red|ugbc
clay_rhyolite_dark|ugbc
clay_schist_blue|ugbc
clay_schist_green_pale|ugbc
clay_shale_white|ugbc
clay_siltstone_pale|ugbc
clay_soapstone|ugbc
gravel_andesite_white|ugbc
gravel_basalt_pale|ugbc
gravel_chalk_pink|ugbc
gravel_chert|ugbc
gravel_dacite|ugbc
gravel_dolostone_dark|ugbc
gravel_eclogite|ugbc
gravel_gabbro_grey|ugbc
gravel_gneiss_grey|ugbc
gravel_granite_ebony|ugbc
gravel_granite_orange|ugbc
gravel_greywacke_pale|ugbc
gravel_komatiite|ugbc
gravel_lignite|ugbc
gravel_limestone_beige|ugbc
gravel_marble_cream|ugbc
gravel_migmatite|ugbc
gravel_quartzite_red|ugbc
gravel_rhyolite_dark|ugbc
gravel_schist_blue|ugbc
gravel_schist_green_pale|ugbc
gravel_shale_white|ugbc
gravel_siltstone_pale|ugbc
gravel_soapstone|ugbc
sand_andesite_white|ugbc
sand_basalt_pale|ugbc
sand_chalk_pink|ugbc
sand_chert|ugbc
sand_dacite|ugbc
sand_dolostone_dark|ugbc
sand_eclogite|ugbc
sand_gabbro_grey|ugbc
sand_gneiss_grey|ugbc
sand_granite_ebony|ugbc
sand_granite_orange|ugbc
sand_greywacke_pale|ugbc
sand_komatiite|ugbc
sand_lignite|ugbc
sand_limestone_beige|ugbc
sand_marble_cream|ugbc
sand_migmatite|ugbc
sand_quartzite_red|ugbc
sand_rhyolite_dark|ugbc
sand_schist_blue|ugbc
sand_schist_green_pale|ugbc
sand_shale_white|ugbc
sand_siltstone_pale|ugbc
sand_soapstone|ugbc
stone_andesite_white|ugbc
stone_basalt_pale|ugbc
stone_chalk_pink|ugbc
stone_chert|ugbc
stone_dacite|ugbc
stone_dolostone_dark|ugbc
stone_eclogite|ugbc
stone_gabbro_grey|ugbc
stone_gneiss_grey|ugbc
stone_granite_ebony|ugbc
stone_granite_orange|ugbc
stone_greywacke_pale|ugbc
stone_komatiite|ugbc
stone_lignite|ugbc
stone_limestone_beige|ugbc
stone_marble_cream|ugbc
stone_migmatite|ugbc
stone_quartzite_red|ugbc
stone_rhyolite_dark|ugbc
stone_sandstone_andesite_white|ugbc
stone_sandstone_basalt_pale|ugbc
stone_sandstone_chalk_pink|ugbc
stone_sandstone_chert|ugbc
stone_sandstone_dacite|ugbc
stone_sandstone_dolostone_dark|ugbc
stone_sandstone_eclogite|ugbc
stone_sandstone_gabbro_grey|ugbc
stone_sandstone_gneiss_grey|ugbc
stone_sandstone_granite_ebony|ugbc
stone_sandstone_granite_orange|ugbc
stone_sandstone_greywacke_pale|ugbc
stone_sandstone_komatiite|ugbc
stone_sandstone_lignite|ugbc
stone_sandstone_limestone_beige|ugbc
stone_sandstone_marble_cream|ugbc
stone_sandstone_migmatite|ugbc
stone_sandstone_quartzite_red|ugbc
stone_sandstone_rhyolite_dark|ugbc
stone_sandstone_schist_blue|ugbc
stone_sandstone_schist_green_pale|ugbc
stone_sandstone_shale_white|ugbc
stone_sandstone_siltstone_pale|ugbc
stone_sandstone_soapstone|ugbc
stone_schist_blue|ugbc
stone_schist_green_pale|ugbc
stone_shale_white|ugbc
stone_siltstone_pale|ugbc
stone_soapstone|ugbc

# supporting packages (.optional)
#mineral_lignite|real_minerals
#sand_silt|darkage
