# "underch" remix - contains everything from underch, and everything from the following ucho mods:
#       compressed, condensed, bakedeye, gemtools, gravelcraft

# node_name | original_mod

# underch/uchu packages
abm_standard_moss_grow|default underch
clay_brown|underch
dirt_mossy|underch
food_slimestone_eye_baked|bakedeye
gravel_mossy|underch
light_block_sichamine|underch
mapgen_underch|underch
mineral_amethyst|underch
mineral_aquamarine|underch
mineral_coal_block_with_diamond|underch
mineral_emerald|underch
mineral_mese_crystal_large|underch
mineral_quartz_white|underch
mineral_ruby|underch
mineral_sapphire|underch
misc_granules_coal|underch
misc_granules_fiery|underch
misc_granules_normal|underch
misc_granules_ruby|underch
misc_stone_burner|underch
moss_underground|underch
moss_underground_dry|underch
mushroom_black|underch
mushroom_burning|underch
mushroom_green|underch
mushroom_orange|underch
ore_underch_clay_brown|underch
ore_underch_gravel_mossy|underch
ore_underch_stone_ordinary_cobble|underch
plant_bush_underground|underch
plant_bush_underground_dead|underch
plant_mould_underground|underch
plant_torchberry|underch
plant_tuber_dark|underch
shared_underch_slime|underch
stone_afualite|underch compressed condensed
stone_amphibolite|underch compressed condensed
stone_andesite_dark|underch compressed condensed
stone_aplite|underch compressed condensed
stone_basalt_blue|underch compressed condensed
stone_diorite_pale|underch compressed condensed
stone_dolostone_pale|underch compressed condensed
stone_emutite|underch compressed condensed
stone_gabbro_brown|underch compressed condensed
stone_gneiss_black|underch compressed condensed
stone_goldstone|underch
stone_granite_salmon|underch compressed condensed
stone_hektorite|underch compressed condensed
stone_leafstone|underch
stone_limestone_grey|underch compressed condensed
stone_malachite|underch
stone_marble_carrara|underch compressed condensed
stone_obscurite|underch
stone_omphyrite|underch compressed condensed
stone_omphyrite_extra|underch
stone_ordinary_with_amethyst|underch
stone_ordinary_with_aquamarine|underch
stone_ordinary_with_coal_dense|underch
stone_ordinary_with_copper_dense|underch
stone_ordinary_with_emerald|underch
stone_ordinary_with_gold_dense|underch
stone_ordinary_with_iron_dense|underch
stone_ordinary_with_quartz_white|underch
stone_ordinary_with_ruby|underch
stone_ordinary_with_sapphire|underch
stone_pegmatite_red|underch compressed condensed
stone_peridotite_dark|underch compressed condensed
stone_phonolite|underch compressed condensed
stone_phyllite|underch compressed condensed
stone_quartzite_brown|underch compressed condensed
stone_schist_red|underch compressed condensed
stone_shinestone|underch
stone_sichamine|underch compressed condensed
stone_sichamine_extra|underch
stone_slate_red|underch compressed condensed
stone_slimestone_black_extra|underch
stone_slimestone_green|underch compressed condensed
stone_slimestone_green_extra|underch
stone_slimestone_purple|underch compressed condensed
stone_slimestone_purple_extra|underch
stone_slimestone_red|underch compressed condensed
stone_slimestone_red_extra|underch
stone_vindesite_blue|underch compressed condensed
stone_vindesite_white|underch compressed condensed
stone_vindesite_white_with_quartz_white|underch
tool_axe_emerald|gemtools
tool_pick_emerald|gemtools
tool_shovel_emerald|gemtools
tool_sword_emerald|gemtools
tool_axe_sapphire|gemtools
tool_pick_sapphire|gemtools
tool_shovel_sapphire|gemtools
tool_sword_sapphire|gemtools
tool_axe_ruby|gemtools
tool_pick_ruby|gemtools
tool_shovel_ruby|gemtools
tool_sword_ruby|gemtools
vine_fiery|underch
vine_underground|underch

# supporting packages (.depends)
dirt_ordinary|default farming moreblocks
fire_permanent|fire underch
gravel_ordinary|default mtg_plus
liquid_lava_ordinary|default
metal_copper|default glemr11 moreblocks technic
metal_gold|default glemr11 technic
metal_iron|default
mineral_coal|default technic
mineral_diamond|default mtg_plus
mineral_flint|default fire mtg_plus
mineral_mese|default glemr11
shared_standard|flowers fire
stone_ordinary|default moreblocks technic

# supporting packages (.at_least_one)

# supporting packages (.optional)
#brick_ordinary|default
#fire_ordinary|fire
#grass_dry|default
#grass_jungle|default
#grass_ordinary|default
#item_stick_ordinary|default
#machine_furnace_induction|unilib
#machine_polishing|unilib
#metal_steel|default glemr11 technic
#metal_tin|default glemr11 technic
#moss_green|sickles
#soil_ordinary|farming
#stone_obsidian|default moreblocks
#torch_ordinary|default

# supporting packages (.suggested)
