# "vallee_des_roses" remix - contains only flowers from the Vallee des Roses mod

# node_name | original_mod

# vallee_des_roses packages
deco_vallee_des_roses_flower_buttercup_small|vallee_des_roses
deco_vallee_des_roses_flower_hyacinth|vallee_des_roses
deco_vallee_des_roses_flower_marigold_small|vallee_des_roses
deco_vallee_des_roses_flower_poppy_brittle|vallee_des_roses
flower_buttercup_small|vallee_des_roses
flower_hyacinth|vallee_des_roses
flower_marigold_small|vallee_des_roses
flower_poppy_brittle|vallee_des_roses

# supporting packages (.depends)
dirt_ordinary|default farming moreblocks

# supporting packages (.at_least_one)
biome_default_forest_coniferous|default
biome_default_forest_deciduous|default
biome_default_grassland|default
biome_default_grassland_snowy|default
biome_default_taiga|default

# supporting packages (.optional)
#grass_dry|default
#grass_jungle|default
#grass_ordinary|default
#soil_ordinary|farming

# supporting packages (.suggested)
