# "xdecor" remix - contains everything except the cauldron/soup, enchanting table, workbench and
#       chess set
# See the STANDARDS file for more information about what belongs in each category, and what does not

# node_name | original_mod

# xdecor packages
candle_normal|xdecor
clay_ordinary_hardened|xdecor
container_cabinet|xdecor
container_chest_obsidian|xdecor
decor_block_ice_packed|xdecor
decor_bricks_cactus_old|xdecor
decor_bricks_moonbrick|xdecor
decor_bricks_runestone|xdecor
decor_tiled_coal|xdecor
decor_tiled_stone_desert|xdecor
decor_tiled_wood_jointed|xdecor
device_lever|xdecor
device_plate_pressure|xdecor
door_japanese|xdecor
door_framed_glass|xdecor
door_framed_paper|xdecor
door_screen|xdecor
door_steel_prison|xdecor
door_steel_rusty_prison|xdecor
flowerpot_clay|xdecor
food_honey_synthetic|xdecor
furniture_chair_simple|xdecor
furniture_curtain_basic|xdecor
furniture_cushion_simple|xdecor
furniture_shelf_utility|moreblocks xdecor
furniture_table_simple|xdecor
gadget_radio|xdecor
gadget_speaker|xdecor
gadget_television|xdecor
glass_framed_wood_connecting|xdecor
light_lamp_traditional|xdecor
light_lantern_iron|xdecor
light_lantern_wood|xdecor
misc_barricade|xdecor
misc_box_barrel|xdecor
misc_box_letter|xdecor
misc_cobweb|xdecor
misc_flooring_tatami|xdecor
misc_frame_wood_display|xdecor
misc_hive_artificial|xdecor
misc_painting_small|xdecor
misc_trampoline|xdecor
misc_weathervane_rooster|xdecor
pane_bars_iron_rusty|xdecor
pane_lattice_chainlink|xdecor
pane_lattice_papyrus_simple|xdecor
pane_lattice_wood|xdecor
plant_ivy_normal|xdecor
road_path_garden_stone|xdecor
rope_rough|xdecor
shared_xdecor|xdecor

# packages from other mods, providing (almost) identical items
decor_tiled_stone|moreblocks

# supporting packages (.depends)
brick_ordinary|default
clay_ordinary|default
container_chest_ordinary|default
crop_cotton|farming
crop_wheat|farming
dye_basic|dye bakedclay
glass_ordinary|default moreblocks vessels
ice_ordinary|default ethereal mtg_plus
item_paper_ordinary|default moreblocks
item_string_ordinary|farming
liquid_water_ordinary|default
metal_copper|default moreblocks technic
metal_gold|default technic
metal_iron|default
metal_steel|default technic
mineral_coal|default technic
pane_steel_bar|xpanes
plant_cactus_ordinary|default
plant_papyrus_ordinary|default mtg_plus
shared_default_chest|unilib
sign_wall_wood|default
stone_desert|default moreblocks
stone_obsidian|default moreblocks
stone_ordinary|default moreblocks technic
torch_ordinary|default
trapdoor_wood_ordinary|doors
wool_basic|wool

# supporting packages (.at_least_one)
dirt_dry|default
dirt_ordinary|default farming moreblocks

# supporting packages (.optional)
#bush_blueberry_ordinary|default
#grass_jungle|default
#gravel_stone_desert|glemr11
#item_sweeper|moreblocks
#metal_bronze|default technic
#mineral_mese|default
#moss_green|sickles
#plant_shrub_dry|default
#shared_screwdriver|screwdriver

# supporting packages (.suggested)
#item_book_ordinary|default
#vessel_bottle_glass_empty|thirsty vessels
